"Career & Technical Education"
4/3/2023

Year,Level,Division,Description,"Year Count"
"2021 - 2022",DIV,"Campbell County Public Schools","CTE Completers",319
"2021 - 2022",DIV,"Campbell County Public Schools","Industry Certification",821
"2021 - 2022",DIV,"Campbell County Public Schools","NOCTI Assessments",22
"2021 - 2022",DIV,"Campbell County Public Schools","State Licensures",107
"2021 - 2022",DIV,"Campbell County Public Schools","Students Earning One or More Credentials",786
"2021 - 2022",DIV,"Campbell County Public Schools","Total Credentials Earned",1035
"2021 - 2022",DIV,"Campbell County Public Schools","Workplace Readiness",85
"2021 - 2022",DIV,"Caroline County Public Schools","Armed Services Vocational Aptitude Battery Examination",36
"2021 - 2022",DIV,"Caroline County Public Schools","CTE Completers",92
"2021 - 2022",DIV,"Caroline County Public Schools","Industry Certification",282
"2021 - 2022",DIV,"Caroline County Public Schools","State Licensures",12
"2021 - 2022",DIV,"Caroline County Public Schools","Students Earning One or More Credentials",419
"2021 - 2022",DIV,"Caroline County Public Schools","Total Credentials Earned",527
"2021 - 2022",DIV,"Caroline County Public Schools","Workplace Readiness",233
"2021 - 2022",DIV,"Carroll County Public Schools","CTE Completers",209
"2021 - 2022",DIV,"Carroll County Public Schools","Students Earning One or More Credentials",275
"2021 - 2022",DIV,"Carroll County Public Schools","Total Credentials Earned",275
"2021 - 2022",DIV,"Carroll County Public Schools","Workplace Readiness",275
"2021 - 2022",DIV,"Charles City County Public Schools","CTE Completers",25
"2021 - 2022",DIV,"Charles City County Public Schools","Students Earning One or More Credentials",37
"2021 - 2022",DIV,"Charles City County Public Schools","Total Credentials Earned",37
"2021 - 2022",DIV,"Charles City County Public Schools","Workplace Readiness",37
"2021 - 2022",DIV,"Charlotte County Public Schools","CTE Completers",122
"2021 - 2022",DIV,"Charlotte County Public Schools","Industry Certification",278
"2021 - 2022",DIV,"Charlotte County Public Schools","State Licensures",19
"2021 - 2022",DIV,"Charlotte County Public Schools","Students Earning One or More Credentials",243
"2021 - 2022",DIV,"Charlotte County Public Schools","Total Credentials Earned",328
"2021 - 2022",DIV,"Charlotte County Public Schools","Workplace Readiness",31
"2021 - 2022",DIV,"Charlottesville City Public Schools","CTE Completers",130
"2021 - 2022",DIV,"Charlottesville City Public Schools","Industry Certification",229
"2021 - 2022",DIV,"Charlottesville City Public Schools","State Licensures",9
"2021 - 2022",DIV,"Charlottesville City Public Schools","Students Earning One or More Credentials",393
"2021 - 2022",DIV,"Charlottesville City Public Schools","Total Credentials Earned",436
"2021 - 2022",DIV,"Charlottesville City Public Schools","Workplace Readiness",198
"2021 - 2022",DIV,"Chesapeake City Public Schools","CTE Completers",943
"2021 - 2022",DIV,"Chesapeake City Public Schools","Industry Certification",4268
"2021 - 2022",DIV,"Chesapeake City Public Schools","NOCTI Assessments",45
"2021 - 2022",DIV,"Chesapeake City Public Schools","State Licensures",66
"2021 - 2022",DIV,"Chesapeake City Public Schools","Students Earning One or More Credentials",4266
"2021 - 2022",DIV,"Chesapeake City Public Schools","Total Credentials Earned",5104
"2021 - 2022",DIV,"Chesapeake City Public Schools","Workplace Readiness",725
"2021 - 2022",DIV,"Chesterfield County Public Schools","Armed Services Vocational Aptitude Battery Examination",16
"2021 - 2022",DIV,"Chesterfield County Public Schools","CTE Completers",2119
"2021 - 2022",DIV,"Chesterfield County Public Schools","Industry Certification",5769
"2021 - 2022",DIV,"Chesterfield County Public Schools","State Licensures",65
"2021 - 2022",DIV,"Chesterfield County Public Schools","Students Earning One or More Credentials",5978
"2021 - 2022",DIV,"Chesterfield County Public Schools","Total Credentials Earned",7130
"2021 - 2022",DIV,"Chesterfield County Public Schools","Workplace Readiness",1296
"2021 - 2022",DIV,"Clarke County Public Schools","CTE Completers",85
"2021 - 2022",DIV,"Clarke County Public Schools","Industry Certification",175
"2021 - 2022",DIV,"Clarke County Public Schools","State Licensures",13
"2021 - 2022",DIV,"Clarke County Public Schools","Students Earning One or More Credentials",187
"2021 - 2022",DIV,"Clarke County Public Schools","Total Credentials Earned",201
"2021 - 2022",DIV,"Clarke County Public Schools","Workplace Readiness",13
"2021 - 2022",DIV,"Colonial Beach Public Schools","CTE Completers",16
"2021 - 2022",DIV,"Colonial Beach Public Schools","Industry Certification",40
"2021 - 2022",DIV,"Colonial Beach Public Schools","Students Earning One or More Credentials",39
"2021 - 2022",DIV,"Colonial Beach Public Schools","Total Credentials Earned",41
"2021 - 2022",DIV,"Colonial Beach Public Schools","Workplace Readiness",1
"2021 - 2022",DIV,"Colonial Heights City Public Schools","CTE Completers",111
"2021 - 2022",DIV,"Colonial Heights City Public Schools","Industry Certification",266
"2021 - 2022",DIV,"Colonial Heights City Public Schools","NOCTI Assessments",34
"2021 - 2022",DIV,"Colonial Heights City Public Schools","Students Earning One or More Credentials",252
"2021 - 2022",DIV,"Colonial Heights City Public Schools","Total Credentials Earned",324
"2021 - 2022",DIV,"Colonial Heights City Public Schools","Workplace Readiness",24
"2021 - 2022",DIV,"Craig County Public Schools","CTE Completers",21
"2021 - 2022",DIV,"Craig County Public Schools","Industry Certification",45
"2021 - 2022",DIV,"Craig County Public Schools","State Licensures",1
"2021 - 2022",DIV,"Craig County Public Schools","Students Earning One or More Credentials",57
"2021 - 2022",DIV,"Craig County Public Schools","Total Credentials Earned",64
"2021 - 2022",DIV,"Craig County Public Schools","Workplace Readiness",18
"2021 - 2022",DIV,"Culpeper County Public Schools","Armed Services Vocational Aptitude Battery Examination",21
"2021 - 2022",DIV,"Culpeper County Public Schools","CTE Completers",410
"2021 - 2022",DIV,"Culpeper County Public Schools","Industry Certification",827
"2021 - 2022",DIV,"Culpeper County Public Schools","NOCTI Assessments",38
"2021 - 2022",DIV,"Culpeper County Public Schools","State Licensures",14
"2021 - 2022",DIV,"Culpeper County Public Schools","Students Earning One or More Credentials",1076
"2021 - 2022",DIV,"Culpeper County Public Schools","Total Credentials Earned",1378
"2021 - 2022",DIV,"Culpeper County Public Schools","Workplace Readiness",499
"2021 - 2022",DIV,"Cumberland County Public Schools","Armed Services Vocational Aptitude Battery Examination",17
"2021 - 2022",DIV,"Cumberland County Public Schools","CTE Completers",33
"2021 - 2022",DIV,"Cumberland County Public Schools","Industry Certification",169
"2021 - 2022",DIV,"Cumberland County Public Schools","State Licensures",6
"2021 - 2022",DIV,"Cumberland County Public Schools","Students Earning One or More Credentials",128
"2021 - 2022",DIV,"Cumberland County Public Schools","Total Credentials Earned",175
"2021 - 2022",DIV,"Danville City Public Schools","CTE Completers",130
"2021 - 2022",DIV,"Danville City Public Schools","Students Earning One or More Credentials",153
"2021 - 2022",DIV,"Danville City Public Schools","Total Credentials Earned",153
"2021 - 2022",DIV,"Danville City Public Schools","Workplace Readiness",153
"2021 - 2022",DIV,"Department of Juvenile Justice","CTE Completers",1
"2021 - 2022",DIV,"Department of Juvenile Justice","Industry Certification",18
"2021 - 2022",DIV,"Department of Juvenile Justice","Students Earning One or More Credentials",18
"2021 - 2022",DIV,"Department of Juvenile Justice","Total Credentials Earned",18
"2021 - 2022",DIV,"Dickenson County Public Schools","CTE Completers",88
"2021 - 2022",DIV,"Dickenson County Public Schools","Industry Certification",155
"2021 - 2022",DIV,"Dickenson County Public Schools","NOCTI Assessments",13
"2021 - 2022",DIV,"Dickenson County Public Schools","State Licensures",31
"2021 - 2022",DIV,"Dickenson County Public Schools","Students Earning One or More Credentials",275
"2021 - 2022",DIV,"Dickenson County Public Schools","Total Credentials Earned",286
"2021 - 2022",DIV,"Dickenson County Public Schools","Workplace Readiness",87
"2021 - 2022",DIV,"Dinwiddie County Public Schools","Armed Services Vocational Aptitude Battery Examination",9
"2021 - 2022",DIV,"Dinwiddie County Public Schools","CTE Completers",226
"2021 - 2022",DIV,"Dinwiddie County Public Schools","Industry Certification",317
"2021 - 2022",DIV,"Dinwiddie County Public Schools","NOCTI Assessments",34
"2021 - 2022",DIV,"Dinwiddie County Public Schools","State Licensures",14
"2021 - 2022",DIV,"Dinwiddie County Public Schools","Students Earning One or More Credentials",521
"2021 - 2022",DIV,"Dinwiddie County Public Schools","Total Credentials Earned",634
"2021 - 2022",DIV,"Dinwiddie County Public Schools","Workplace Readiness",269
"2021 - 2022",DIV,"Essex County Public Schools","CTE Completers",72
"2021 - 2022",DIV,"Essex County Public Schools","Students Earning One or More Credentials",113
"2021 - 2022",DIV,"Essex County Public Schools","Total Credentials Earned",113
"2021 - 2022",DIV,"Essex County Public Schools","Workplace Readiness",113
"2021 - 2022",DIV,"Fairfax County Public Schools","Armed Services Vocational Aptitude Battery Examination",85
"2021 - 2022",DIV,"Fairfax County Public Schools","CTE Completers",5034
"2021 - 2022",DIV,"Fairfax County Public Schools","Industry Certification",11541
"2021 - 2022",DIV,"Fairfax County Public Schools","State Licensures",31
"2021 - 2022",DIV,"Fairfax County Public Schools","Students Earning One or More Credentials",16443
"2021 - 2022",DIV,"Fairfax County Public Schools","Total Credentials Earned",18845
"2021 - 2022",DIV,"Fairfax County Public Schools","Workplace Readiness",7273
"2021 - 2022",DIV,"Falls Church City Public Schools","CTE Completers",153
"2021 - 2022",DIV,"Falls Church City Public Schools","Students Earning One or More Credentials",97
"2021 - 2022",DIV,"Falls Church City Public Schools","Total Credentials Earned",97
"2021 - 2022",DIV,"Falls Church City Public Schools","Workplace Readiness",97
"2021 - 2022",DIV,"Fauquier County Public Schools","CTE Completers",576
"2021 - 2022",DIV,"Fauquier County Public Schools","Students Earning One or More Credentials",288
"2021 - 2022",DIV,"Fauquier County Public Schools","Total Credentials Earned",288
"2021 - 2022",DIV,"Fauquier County Public Schools","Workplace Readiness",288
"2021 - 2022",DIV,"Floyd County Public Schools","CTE Completers",77
"2021 - 2022",DIV,"Floyd County Public Schools","Students Earning One or More Credentials",114
"2021 - 2022",DIV,"Floyd County Public Schools","Total Credentials Earned",114
"2021 - 2022",DIV,"Floyd County Public Schools","Workplace Readiness",114
"2021 - 2022",DIV,"Fluvanna County Public Schools","CTE Completers",155
"2021 - 2022",DIV,"Fluvanna County Public Schools","Industry Certification",534
"2021 - 2022",DIV,"Fluvanna County Public Schools","NOCTI Assessments",30
"2021 - 2022",DIV,"Fluvanna County Public Schools","State Licensures",11
"2021 - 2022",DIV,"Fluvanna County Public Schools","Students Earning One or More Credentials",618
"2021 - 2022",DIV,"Fluvanna County Public Schools","Total Credentials Earned",796
"2021 - 2022",DIV,"Fluvanna County Public Schools","Workplace Readiness",221
"2021 - 2022",DIV,"Franklin City Public Schools","Armed Services Vocational Aptitude Battery Examination",8
"2021 - 2022",DIV,"Franklin City Public Schools","CTE Completers",52
"2021 - 2022",DIV,"Franklin City Public Schools","Industry Certification",103
"2021 - 2022",DIV,"Franklin City Public Schools","Students Earning One or More Credentials",94
"2021 - 2022",DIV,"Franklin City Public Schools","Total Credentials Earned",127
"2021 - 2022",DIV,"Franklin City Public Schools","Workplace Readiness",24
"2021 - 2022",DIV,"Franklin County Public Schools","CTE Completers",226
"2021 - 2022",DIV,"Franklin County Public Schools","Industry Certification",433
"2021 - 2022",DIV,"Franklin County Public Schools","NOCTI Assessments",86
"2021 - 2022",DIV,"Franklin County Public Schools","Students Earning One or More Credentials",666
"2021 - 2022",DIV,"Franklin County Public Schools","Total Credentials Earned",755
"2021 - 2022",DIV,"Franklin County Public Schools","Workplace Readiness",236
"2021 - 2022",DIV,"Frederick County Public Schools","CTE Completers",714
"2021 - 2022",DIV,"Frederick County Public Schools","Industry Certification",1786
"2021 - 2022",DIV,"Frederick County Public Schools","NOCTI Assessments",9
"2021 - 2022",DIV,"Frederick County Public Schools","State Licensures",47
"2021 - 2022",DIV,"Frederick County Public Schools","Students Earning One or More Credentials",1723
"2021 - 2022",DIV,"Frederick County Public Schools","Total Credentials Earned",2566
"2021 - 2022",DIV,"Frederick County Public Schools","Workplace Readiness",724
"2021 - 2022",DIV,"Fredericksburg City Public Schools","CTE Completers",117
"2021 - 2022",DIV,"Fredericksburg City Public Schools","Industry Certification",204
"2021 - 2022",DIV,"Fredericksburg City Public Schools","State Licensures",11
"2021 - 2022",DIV,"Fredericksburg City Public Schools","Students Earning One or More Credentials",303
"2021 - 2022",DIV,"Fredericksburg City Public Schools","Total Credentials Earned",381
"2021 - 2022",DIV,"Fredericksburg City Public Schools","Workplace Readiness",166
"2021 - 2022",DIV,"Galax City Public Schools","CTE Completers",45
"2021 - 2022",DIV,"Galax City Public Schools","Students Earning One or More Credentials",4
"2021 - 2022",DIV,"Galax City Public Schools","Total Credentials Earned",4
"2021 - 2022",DIV,"Galax City Public Schools","Workplace Readiness",4
"2021 - 2022",DIV,"Giles County Public Schools","CTE Completers",111
"2021 - 2022",DIV,"Giles County Public Schools","Industry Certification",249
"2021 - 2022",DIV,"Giles County Public Schools","NOCTI Assessments",13
"2021 - 2022",DIV,"Giles County Public Schools","State Licensures",16
"2021 - 2022",DIV,"Giles County Public Schools","Students Earning One or More Credentials",282
"2021 - 2022",DIV,"Giles County Public Schools","Total Credentials Earned",290
"2021 - 2022",DIV,"Giles County Public Schools","Workplace Readiness",12
"2021 - 2022",DIV,"Gloucester County Public Schools","Armed Services Vocational Aptitude Battery Examination",27
"2021 - 2022",DIV,"Gloucester County Public Schools","CTE Completers",151
"2021 - 2022",DIV,"Gloucester County Public Schools","Industry Certification",125
"2021 - 2022",DIV,"Gloucester County Public Schools","NOCTI Assessments",31
"2021 - 2022",DIV,"Gloucester County Public Schools","State Licensures",5
"2021 - 2022",DIV,"Gloucester County Public Schools","Students Earning One or More Credentials",399
"2021 - 2022",DIV,"Gloucester County Public Schools","Total Credentials Earned",455
"2021 - 2022",DIV,"Gloucester County Public Schools","Workplace Readiness",294
"2021 - 2022",DIV,"Goochland County Public Schools","CTE Completers",85
"2021 - 2022",DIV,"Grayson County Public Schools","CTE Completers",81
"2021 - 2022",DIV,"Grayson County Public Schools","Students Earning One or More Credentials",27
"2021 - 2022",DIV,"Grayson County Public Schools","Total Credentials Earned",27
"2021 - 2022",DIV,"Grayson County Public Schools","Workplace Readiness",27
"2021 - 2022",DIV,"Greene County Public Schools","CTE Completers",2
"2021 - 2022",DIV,"Greene County Public Schools","Industry Certification",311
"2021 - 2022",DIV,"Greene County Public Schools","State Licensures",8
"2021 - 2022",DIV,"Greene County Public Schools","Students Earning One or More Credentials",279
"2021 - 2022",DIV,"Greene County Public Schools","Total Credentials Earned",319
"2021 - 2022",DIV,"Greensville County Public Schools","CTE Completers",111
"2021 - 2022",DIV,"Greensville County Public Schools","Students Earning One or More Credentials",60
"2021 - 2022",DIV,"Greensville County Public Schools","Total Credentials Earned",60
"2021 - 2022",DIV,"Greensville County Public Schools","Workplace Readiness",60
"2021 - 2022",DIV,"Halifax County Public Schools","CTE Completers",162
"2021 - 2022",DIV,"Halifax County Public Schools","Industry Certification",556
"2021 - 2022",DIV,"Halifax County Public Schools","State Licensures",9
"2021 - 2022",DIV,"Halifax County Public Schools","Students Earning One or More Credentials",407
"2021 - 2022",DIV,"Halifax County Public Schools","Total Credentials Earned",565
"2021 - 2022",DIV,"Hampton City Public Schools","CTE Completers",794
"2021 - 2022",DIV,"Hampton City Public Schools","Industry Certification",1209
"2021 - 2022",DIV,"Hampton City Public Schools","NOCTI Assessments",51
"2021 - 2022",DIV,"Hampton City Public Schools","State Licensures",11
"2021 - 2022",DIV,"Hampton City Public Schools","Students Earning One or More Credentials",1431
"2021 - 2022",DIV,"Hampton City Public Schools","Total Credentials Earned",2288
"2021 - 2022",DIV,"Hampton City Public Schools","Workplace Readiness",1017
"2021 - 2022",DIV,"Hanover County Public Schools","Armed Services Vocational Aptitude Battery Examination",64
"2021 - 2022",DIV,"Hanover County Public Schools","CTE Completers",763
"2021 - 2022",DIV,"Hanover County Public Schools","Industry Certification",2045
"2021 - 2022",DIV,"Hanover County Public Schools","NOCTI Assessments",56
"2021 - 2022",DIV,"Hanover County Public Schools","State Licensures",78
"2021 - 2022",DIV,"Hanover County Public Schools","Students Earning One or More Credentials",1806
"2021 - 2022",DIV,"Hanover County Public Schools","Total Credentials Earned",2325
"2021 - 2022",DIV,"Hanover County Public Schools","Workplace Readiness",146
"2021 - 2022",DIV,"Harrisonburg City Public Schools","Armed Services Vocational Aptitude Battery Examination",18
"2021 - 2022",DIV,"Harrisonburg City Public Schools","CTE Completers",230
"2021 - 2022",DIV,"Harrisonburg City Public Schools","Industry Certification",371
"2021 - 2022",DIV,"Harrisonburg City Public Schools","State Licensures",3
"2021 - 2022",DIV,"Harrisonburg City Public Schools","Students Earning One or More Credentials",362
"2021 - 2022",DIV,"Harrisonburg City Public Schools","Total Credentials Earned",374
"2021 - 2022",DIV,"Henrico County Public Schools","Armed Services Vocational Aptitude Battery Examination",3
"2021 - 2022",DIV,"Henrico County Public Schools","CTE Completers",1612
"2021 - 2022",DIV,"Henrico County Public Schools","Industry Certification",3467
"2021 - 2022",DIV,"Henrico County Public Schools","NOCTI Assessments",204
"2021 - 2022",DIV,"Henrico County Public Schools","State Licensures",13
"2021 - 2022",DIV,"Henrico County Public Schools","Students Earning One or More Credentials",4038
"2021 - 2022",DIV,"Henrico County Public Schools","Total Credentials Earned",4679
"2021 - 2022",DIV,"Henrico County Public Schools","Workplace Readiness",995
"2021 - 2022",DIV,"Henry County Public Schools","CTE Completers",188
"2021 - 2022",DIV,"Henry County Public Schools","Students Earning One or More Credentials",56
"2021 - 2022",DIV,"Henry County Public Schools","Total Credentials Earned",56
"2021 - 2022",DIV,"Henry County Public Schools","Workplace Readiness",56
"2021 - 2022",DIV,"Highland County Public Schools","CTE Completers",10
"2021 - 2022",DIV,"Hopewell City Public Schools","Armed Services Vocational Aptitude Battery Examination",10
"2021 - 2022",DIV,"Hopewell City Public Schools","CTE Completers",181
"2021 - 2022",DIV,"Hopewell City Public Schools","Industry Certification",48
"2021 - 2022",DIV,"Hopewell City Public Schools","Students Earning One or More Credentials",106
"2021 - 2022",DIV,"Hopewell City Public Schools","Total Credentials Earned",123
"2021 - 2022",DIV,"Hopewell City Public Schools","Workplace Readiness",75
"2021 - 2022",DIV,"Isle of Wight County Public Schools","Armed Services Vocational Aptitude Battery Examination",18
"2021 - 2022",DIV,"Isle of Wight County Public Schools","CTE Completers",194
"2021 - 2022",DIV,"Isle of Wight County Public Schools","Industry Certification",588
"2021 - 2022",DIV,"Isle of Wight County Public Schools","Students Earning One or More Credentials",688
"2021 - 2022",DIV,"Isle of Wight County Public Schools","Total Credentials Earned",900
"2021 - 2022",DIV,"Isle of Wight County Public Schools","Workplace Readiness",312
"2021 - 2022",DIV,"King George County Public Schools","CTE Completers",165
"2021 - 2022",DIV,"King George County Public Schools","Industry Certification",490
"2021 - 2022",DIV,"King George County Public Schools","State Licensures",22
"2021 - 2022",DIV,"King George County Public Schools","Students Earning One or More Credentials",437
"2021 - 2022",DIV,"King George County Public Schools","Total Credentials Earned",549
"2021 - 2022",DIV,"King George County Public Schools","Workplace Readiness",37
"2021 - 2022",DIV,"King William County Public Schools","CTE Completers",120
"2021 - 2022",DIV,"King William County Public Schools","Students Earning One or More Credentials",123
"2021 - 2022",DIV,"King William County Public Schools","Total Credentials Earned",123
"2021 - 2022",DIV,"King William County Public Schools","Workplace Readiness",123
"2021 - 2022",DIV,"King and Queen County Public Schools","CTE Completers",17
"2021 - 2022",DIV,"King and Queen County Public Schools","Students Earning One or More Credentials",3
"2021 - 2022",DIV,"King and Queen County Public Schools","Total Credentials Earned",3
"2021 - 2022",DIV,"King and Queen County Public Schools","Workplace Readiness",3
"2021 - 2022",DIV,"Lancaster County Public Schools","CTE Completers",52
"2021 - 2022",DIV,"Lancaster County Public Schools","Industry Certification",86
"2021 - 2022",DIV,"Lancaster County Public Schools","Students Earning One or More Credentials",131
"2021 - 2022",DIV,"Lancaster County Public Schools","Total Credentials Earned",160
"2021 - 2022",DIV,"Lancaster County Public Schools","Workplace Readiness",74
"2021 - 2022",DIV,"Lee County Public Schools","CTE Completers",99
"2021 - 2022",DIV,"Lee County Public Schools","Students Earning One or More Credentials",55
"2021 - 2022",DIV,"Lee County Public Schools","Total Credentials Earned",55
"2021 - 2022",DIV,"Lee County Public Schools","Workplace Readiness",55
"2021 - 2022",DIV,"Loudoun County Public Schools","CTE Completers",2811
"2021 - 2022",DIV,"Loudoun County Public Schools","Industry Certification",7718
"2021 - 2022",DIV,"Loudoun County Public Schools","NOCTI Assessments",163
"2021 - 2022",DIV,"Loudoun County Public Schools","State Licensures",45
"2021 - 2022",DIV,"Loudoun County Public Schools","Students Earning One or More Credentials",11630
"2021 - 2022",DIV,"Loudoun County Public Schools","Total Credentials Earned",14443
"2021 - 2022",DIV,"Loudoun County Public Schools","Workplace Readiness",6517
"2021 - 2022",DIV,"Louisa County Public Schools","Armed Services Vocational Aptitude Battery Examination",2
"2021 - 2022",DIV,"Louisa County Public Schools","CTE Completers",254
"2021 - 2022",DIV,"Louisa County Public Schools","Industry Certification",483
