"Accreditation Rates"
4/3/2023

Year,Division,School,Indicator,Subgroup,"Level Code","Percent Passing","Percent Passing With Recovery","Percent Showing Growth","Percent Showing EL Progress or Proficiency","Accreditation Combined Rate","No Proficiency or Growth"
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - Math",Asian,SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - Math",Black,SCH,33,15,34,,82,18
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - Math","Economically Disadvantaged",SCH,43,18,24,,85,15
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - Math","English Learners",SCH,47,21,24,,92,8
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - Math",Hispanic,SCH,48,20,19,,87,13
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - Math","Multiple Races",SCH,55,18,14,,86,14
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - Math","Students with Disabilities",SCH,26,12,27,,65,35
2022,"Accomack County Public Schools","Arcadia Middle ","Achievement Gap - Math",White,SCH,60,17,12,,88,12
2022,"Accomack County Public Schools","Chincoteague Elementary","Academic Achievement - English","All Students",SCH,56,3,14,0,73,27
2022,"Accomack County Public Schools","Chincoteague Elementary","Academic Achievement - Math","All Students",SCH,56,4,23,,84,16
2022,"Accomack County Public Schools","Chincoteague Elementary","Academic Achievement - Science","All Students",SCH,67,,,,,
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - English",Black,SCH,25,0,33,0,58,42
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,36,0,26,0,62,38
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - English","English Learners",SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - English",Hispanic,SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - English","Multiple Races",SCH,64,9,18,0,91,9
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - English","Students with Disabilities",SCH,25,0,20,0,45,55
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - English",White,SCH,55,3,12,0,71,29
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - Math",Black,SCH,33,0,33,,67,33
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,37,4,33,,73,27
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - Math","English Learners",SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - Math",Hispanic,SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - Math","Multiple Races",SCH,55,0,27,,82,18
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - Math","Students with Disabilities",SCH,30,0,30,,60,40
2022,"Accomack County Public Schools","Chincoteague Elementary","Achievement Gap - Math",White,SCH,57,4,24,,85,15
2022,"Accomack County Public Schools","Chincoteague High","Academic Achievement - English","All Students",SCH,77,4,3,0,85,15
2022,"Accomack County Public Schools","Chincoteague High","Academic Achievement - Math","All Students",SCH,76,13,7,,96,4
2022,"Accomack County Public Schools","Chincoteague High","Academic Achievement - Science","All Students",SCH,81,,,,,
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - English",Asian,SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - English",Black,SCH,38,4,8,0,50,50
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - English","Economically Disadvantaged",SCH,65,8,7,0,80,20
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - English",Hispanic,SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - English","Multiple Races",SCH,100,0,0,0,100,0
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - English","Students with Disabilities",SCH,33,7,13,0,53,47
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - English",White,SCH,81,4,3,0,88,12
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - Math",Asian,SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - Math",Black,SCH,52,24,10,,86,14
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - Math","Economically Disadvantaged",SCH,67,17,11,,95,5
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - Math",Hispanic,SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - Math","Multiple Races",SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - Math","Students with Disabilities",SCH,40,24,20,,84,16
2022,"Accomack County Public Schools","Chincoteague High","Achievement Gap - Math",White,SCH,78,12,6,,97,3
2022,"Accomack County Public Schools","Kegotank Elementary","Academic Achievement - English","All Students",SCH,52,7,19,1,80,20
2022,"Accomack County Public Schools","Kegotank Elementary","Academic Achievement - Math","All Students",SCH,41,0,44,,85,15
2022,"Accomack County Public Schools","Kegotank Elementary","Academic Achievement - Science","All Students",SCH,54,,,,,
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - English",Asian,SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - English",Black,SCH,43,6,21,0,70,30
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,47,7,20,1,75,25
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - English","English Learners",SCH,56,10,28,6,100,0
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - English",Hispanic,SCH,55,10,29,6,100,0
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - English","Multiple Races",SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - English","Students with Disabilities",SCH,21,4,32,0,57,43
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - English",White,SCH,62,6,13,0,80,20
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - Math",Asian,SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - Math",Black,SCH,34,0,44,,78,22
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,36,0,47,,82,18
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - Math","English Learners",SCH,44,0,56,,100,0
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - Math",Hispanic,SCH,36,0,62,,98,2
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - Math","Multiple Races",SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - Math","Students with Disabilities",SCH,8,0,60,,68,32
2022,"Accomack County Public Schools","Kegotank Elementary","Achievement Gap - Math",White,SCH,53,0,32,,85,15
2022,"Accomack County Public Schools","Metompkin Elementary","Academic Achievement - English","All Students",SCH,56,8,23,2,89,11
2022,"Accomack County Public Schools","Metompkin Elementary","Academic Achievement - Math","All Students",SCH,46,10,34,,89,11
2022,"Accomack County Public Schools","Metompkin Elementary","Academic Achievement - Science","All Students",SCH,51,,,,,
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - English",Black,SCH,51,6,24,0,81,19
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,51,10,23,2,85,15
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - English","English Learners",SCH,55,12,28,5,99,1
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - English",Hispanic,SCH,52,11,30,5,98,2
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - English","Multiple Races",SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - English","Students with Disabilities",SCH,33,7,33,4,78,22
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - English",White,SCH,71,5,10,0,86,14
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - Math",Black,SCH,33,8,39,,80,20
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,42,12,33,,87,13
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - Math","English Learners",SCH,53,14,31,,98,2
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - Math",Hispanic,SCH,52,15,29,,96,4
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - Math","Multiple Races",SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - Math","Students with Disabilities",SCH,22,4,41,,67,33
2022,"Accomack County Public Schools","Metompkin Elementary","Achievement Gap - Math",White,SCH,54,4,32,,89,11
2022,"Accomack County Public Schools","Nandua High","Academic Achievement - English","All Students",SCH,80,1,0,1,82,18
2022,"Accomack County Public Schools","Nandua High","Academic Achievement - Math","All Students",SCH,73,20,0,,93,7
2022,"Accomack County Public Schools","Nandua High","Academic Achievement - Science","All Students",SCH,77,,,,,
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - English",Asian,SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - English",Black,SCH,71,1,0,0,72,28
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - English","Economically Disadvantaged",SCH,76,0,0,1,77,23
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - English","English Learners",SCH,82,0,0,6,88,12
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - English",Hispanic,SCH,79,0,0,2,82,18
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - English","Multiple Races",SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - English","Students with Disabilities",SCH,48,2,0,2,52,48
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - English",White,SCH,89,2,0,0,90,10
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - Math",Asian,SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - Math",Black,SCH,64,28,0,,93,7
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - Math","Economically Disadvantaged",SCH,65,27,0,,93,7
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - Math","English Learners",SCH,74,24,0,,97,3
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - Math",Hispanic,SCH,87,13,0,,100,0
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - Math","Multiple Races",SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - Math","Students with Disabilities",SCH,55,28,0,,83,17
2022,"Accomack County Public Schools","Nandua High","Achievement Gap - Math",White,SCH,78,9,0,,88,12
2022,"Accomack County Public Schools","Nandua Middle","Academic Achievement - English","All Students",SCH,67,8,9,1,84,16
2022,"Accomack County Public Schools","Nandua Middle","Academic Achievement - Math","All Students",SCH,60,20,11,,91,9
2022,"Accomack County Public Schools","Nandua Middle","Academic Achievement - Science","All Students",SCH,63,,,,,
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - English",Asian,SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - English",Black,SCH,56,10,13,1,79,21
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - English","Economically Disadvantaged",SCH,62,9,12,1,84,16
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - English","English Learners",SCH,73,10,8,3,95,5
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - English",Hispanic,SCH,72,8,4,2,86,14
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - English","Multiple Races",SCH,69,6,13,0,88,12
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - English","Students with Disabilities",SCH,32,6,27,0,65,35
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - English",White,SCH,77,5,6,0,89,11
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - Math",Asian,SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - Math",Black,SCH,50,25,15,,89,11
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - Math","Economically Disadvantaged",SCH,54,22,13,,89,11
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - Math","English Learners",SCH,65,24,9,,98,2
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - Math",Hispanic,SCH,67,20,7,,94,6
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - Math","Multiple Races",SCH,50,7,21,,79,21
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - Math","Students with Disabilities",SCH,32,15,28,,75,25
2022,"Accomack County Public Schools","Nandua Middle","Achievement Gap - Math",White,SCH,70,16,8,,93,7
2022,"Accomack County Public Schools","Pungoteague Elementary","Academic Achievement - English","All Students",SCH,56,12,20,1,88,12
2022,"Accomack County Public Schools","Pungoteague Elementary","Academic Achievement - Math","All Students",SCH,56,15,20,,90,10
2022,"Accomack County Public Schools","Pungoteague Elementary","Academic Achievement - Science","All Students",SCH,57,,,,,
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - English",Black,SCH,44,12,24,1,81,19
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,52,14,20,1,87,13
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - English","English Learners",SCH,55,15,25,5,100,0
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - English",Hispanic,SCH,54,16,24,3,97,3
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - English","Multiple Races",SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - English","Students with Disabilities",SCH,22,8,39,0,69,31
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - English",White,SCH,73,8,14,0,95,5
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - Math",Black,SCH,43,18,23,,83,17
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,49,18,22,,89,11
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - Math","English Learners",SCH,71,11,17,,100,0
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - Math",Hispanic,SCH,70,10,17,,97,3
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - Math","Multiple Races",SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - Math","Students with Disabilities",SCH,18,6,39,,64,36
2022,"Accomack County Public Schools","Pungoteague Elementary","Achievement Gap - Math",White,SCH,67,13,17,,97,3
2022,"Accomack County Public Schools","Tangier Combined","Academic Achievement - English","All Students",SCH,87,0,0,0,87,13
2022,"Accomack County Public Schools","Tangier Combined","Academic Achievement - Math","All Students",SCH,68,0,26,,95,5
2022,"Accomack County Public Schools","Tangier Combined","Academic Achievement - Science","All Students",SCH,30,,,,,
2022,"Accomack County Public Schools","Tangier Combined","Achievement Gap - English","Economically Disadvantaged",SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Tangier Combined","Achievement Gap - English","Students with Disabilities",SCH,<,<,<,<,<,<
2022,"Accomack County Public Schools","Tangier Combined","Achievement Gap - English",White,SCH,87,0,0,0,87,13
2022,"Accomack County Public Schools","Tangier Combined","Achievement Gap - Math","Economically Disadvantaged",SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Tangier Combined","Achievement Gap - Math","Students with Disabilities",SCH,<,<,<,,<,<
2022,"Accomack County Public Schools","Tangier Combined","Achievement Gap - Math",White,SCH,68,0,26,,95,5
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Academic Achievement - English","All Students",SCH,65,1,16,4,86,14
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Academic Achievement - Math","All Students",SCH,59,3,25,,86,14
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Academic Achievement - Science","All Students",SCH,63,,,,,
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - English",Asian,SCH,77,0,8,8,92,8
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - English",Black,SCH,54,0,27,0,80,20
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - English","Economically Disadvantaged",SCH,49,1,26,7,83,17
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - English","English Learners",SCH,47,2,28,15,91,9
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - English",Hispanic,SCH,44,2,26,12,84,16
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - English","Multiple Races",SCH,50,5,14,5,73,27
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - English","Students with Disabilities",SCH,50,0,15,5,70,30
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - English",White,SCH,90,0,5,0,95,5
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - Math",Asian,SCH,64,0,27,,91,9
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - Math",Black,SCH,40,5,40,,84,16
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - Math","Economically Disadvantaged",SCH,43,4,33,,80,20
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - Math","English Learners",SCH,53,4,32,,89,11
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - Math",Hispanic,SCH,51,4,29,,84,16
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - Math","Multiple Races",SCH,45,5,18,,68,32
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - Math","Students with Disabilities",SCH,40,0,30,,70,30
2022,"Albemarle County Public Schools","Agnor-Hurt Elementary","Achievement Gap - Math",White,SCH,82,0,13,,95,5
2022,"Albemarle County Public Schools","Albemarle High","Academic Achievement - English","All Students",SCH,89,0,0,2,91,9
2022,"Albemarle County Public Schools","Albemarle High","Academic Achievement - Math","All Students",SCH,72,0,0,,72,28
2022,"Albemarle County Public Schools","Albemarle High","Academic Achievement - Science","All Students",SCH,66,,,,,
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - English",Asian,SCH,88,0,0,2,90,10
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - English",Black,SCH,78,0,0,1,79,21
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - English","Economically Disadvantaged",SCH,72,0,0,5,76,24
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - English","English Learners",SCH,73,0,0,18,91,9
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - English",Hispanic,SCH,83,0,0,8,92,8
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - English","Multiple Races",SCH,97,0,0,0,97,3
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - English","Students with Disabilities",SCH,70,0,0,1,71,29
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - English",White,SCH,95,0,0,1,95,5
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - Math",Asian,SCH,91,0,0,,91,9
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - Math",Black,SCH,53,0,0,,53,47
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - Math","Economically Disadvantaged",SCH,55,0,0,,55,45
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - Math","English Learners",SCH,69,0,0,,69,31
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - Math",Hispanic,SCH,60,0,0,,60,40
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - Math","Multiple Races",SCH,66,0,0,,66,34
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - Math","Students with Disabilities",SCH,58,0,0,,58,42
2022,"Albemarle County Public Schools","Albemarle High","Achievement Gap - Math",White,SCH,80,0,0,,80,20
2022,"Albemarle County Public Schools","Baker-Butler Elem","Academic Achievement - English","All Students",SCH,78,4,10,2,94,6
2022,"Albemarle County Public Schools","Baker-Butler Elem","Academic Achievement - Math","All Students",SCH,68,8,14,,90,10
2022,"Albemarle County Public Schools","Baker-Butler Elem","Academic Achievement - Science","All Students",SCH,62,,,,,
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - English",Asian,SCH,76,4,16,0,96,4
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - English",Black,SCH,74,3,11,0,89,11
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - English","Economically Disadvantaged",SCH,53,4,24,6,87,13
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - English","English Learners",SCH,46,8,32,12,98,2
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - English",Hispanic,SCH,51,10,31,6,98,2
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - English","Multiple Races",SCH,73,10,10,0,93,7
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - English","Students with Disabilities",SCH,50,0,27,4,81,19
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - English",White,SCH,86,2,4,2,94,6
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - Math",Asian,SCH,72,12,8,,92,8
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - Math",Black,SCH,59,11,16,,86,14
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - Math","Economically Disadvantaged",SCH,43,10,26,,79,21
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - Math","English Learners",SCH,49,13,24,,87,13
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - Math",Hispanic,SCH,38,15,28,,81,19
2022,"Albemarle County Public Schools","Baker-Butler Elem","Achievement Gap - Math","Multiple Races",SCH,67,13,3,,83,17
