"On-time Graduation Rate"
4/3/2023

Year,Level,Division,Subgroup,Cohort,"Graduation Count","Virginia On-Time Graduation Rate","Completer Count","Completion Rate"
2021,DIV,"Alleghany Highlands Public Schools","English Learners",<,<,100,<,100
2021,DIV,"Alleghany Highlands Public Schools",Female,70,62,88.6,64,91.4
2021,DIV,"Alleghany Highlands Public Schools","Foster Care",<,<,<,<,<
2021,DIV,"Alleghany Highlands Public Schools",Hispanic,<,<,<,<,<
2021,DIV,"Alleghany Highlands Public Schools",Homeless,<,<,<,<,<
2021,DIV,"Alleghany Highlands Public Schools",Male,83,72,86.7,74,89.2
2021,DIV,"Alleghany Highlands Public Schools","Students with Disabilities",17,15,88.2,17,100
2021,DIV,"Alleghany Highlands Public Schools",White,136,121,89,124,91.2
2021,DIV,"Amelia County Public Schools","All Students",115,112,97.4,112,97.4
2021,DIV,"Amelia County Public Schools",Black,22,22,100,22,100
2021,DIV,"Amelia County Public Schools","Economically Disadvantaged",39,38,97.4,38,97.4
2021,DIV,"Amelia County Public Schools","English Learners",<,<,100,<,100
2021,DIV,"Amelia County Public Schools",Female,58,58,100,58,100
2021,DIV,"Amelia County Public Schools",Hispanic,<,<,<,<,<
2021,DIV,"Amelia County Public Schools",Male,57,54,94.7,54,94.7
2021,DIV,"Amelia County Public Schools","Military Connected",<,<,100,<,100
2021,DIV,"Amelia County Public Schools","Multiple Races",<,<,100,<,100
2021,DIV,"Amelia County Public Schools","Students with Disabilities",<,<,100,<,100
2021,DIV,"Amelia County Public Schools",White,82,80,97.6,80,97.6
2021,DIV,"Amherst County Public Schools","All Students",269,251,93.3,253,94.1
2021,DIV,"Amherst County Public Schools",Black,46,45,97.8,45,97.8
2021,DIV,"Amherst County Public Schools","Economically Disadvantaged",139,126,90.6,128,92.1
2021,DIV,"Amherst County Public Schools","English Learners",<,<,100,<,100
2021,DIV,"Amherst County Public Schools",Female,148,140,94.6,142,95.9
2021,DIV,"Amherst County Public Schools","Foster Care",<,<,100,<,100
2021,DIV,"Amherst County Public Schools",Hispanic,<,<,100,<,100
2021,DIV,"Amherst County Public Schools",Homeless,<,<,100,<,100
2021,DIV,"Amherst County Public Schools",Male,121,111,91.7,111,91.7
2021,DIV,"Amherst County Public Schools","Military Connected",<,<,100,<,100
2021,DIV,"Amherst County Public Schools","Multiple Races",32,28,87.5,29,90.6
2021,DIV,"Amherst County Public Schools","Students with Disabilities",26,24,92.3,25,96.2
2021,DIV,"Amherst County Public Schools",White,185,172,93,173,93.5
2021,DIV,"Appomattox County Public Schools","All Students",192,175,91.1,183,95.3
2021,DIV,"Appomattox County Public Schools",Black,25,23,92,25,100
2021,DIV,"Appomattox County Public Schools","Economically Disadvantaged",74,62,83.8,67,90.5
2021,DIV,"Appomattox County Public Schools","English Learners",<,<,100,<,100
2021,DIV,"Appomattox County Public Schools",Female,104,96,92.3,102,98.1
2021,DIV,"Appomattox County Public Schools","Foster Care",<,<,100,<,100
2021,DIV,"Appomattox County Public Schools",Hispanic,<,<,<,<,<
2021,DIV,"Appomattox County Public Schools",Homeless,<,<,100,<,100
2021,DIV,"Appomattox County Public Schools",Male,88,79,89.8,81,92
2021,DIV,"Appomattox County Public Schools","Military Connected",<,<,100,<,100
2021,DIV,"Appomattox County Public Schools","Multiple Races",14,12,85.7,14,100
2021,DIV,"Appomattox County Public Schools","Native Hawaiian",<,<,100,<,100
2021,DIV,"Appomattox County Public Schools","Students with Disabilities",16,15,93.8,15,93.8
2021,DIV,"Appomattox County Public Schools",White,143,131,91.6,134,93.7
2021,DIV,"Arlington County Public Schools","All Students",1868,1745,93.4,1763,94.4
2021,DIV,"Arlington County Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Arlington County Public Schools",Asian,137,130,94.9,131,95.6
2021,DIV,"Arlington County Public Schools",Black,199,192,96.5,195,98
2021,DIV,"Arlington County Public Schools","Economically Disadvantaged",564,523,92.7,535,94.9
2021,DIV,"Arlington County Public Schools","English Learners",574,505,88,516,89.9
2021,DIV,"Arlington County Public Schools",Female,909,864,95,873,96
2021,DIV,"Arlington County Public Schools","Foster Care",<,<,<,<,<
2021,DIV,"Arlington County Public Schools",Hispanic,561,475,84.7,484,86.3
2021,DIV,"Arlington County Public Schools",Homeless,12,11,91.7,11,91.7
2021,DIV,"Arlington County Public Schools",Male,959,881,91.9,890,92.8
2021,DIV,"Arlington County Public Schools","Military Connected",73,70,95.9,71,97.3
2021,DIV,"Arlington County Public Schools","Multiple Races",108,106,98.1,107,99.1
2021,DIV,"Arlington County Public Schools","Students with Disabilities",316,291,92.1,298,94.3
2021,DIV,"Arlington County Public Schools",White,861,840,97.6,844,98
2021,DIV,"Augusta County Public Schools","All Students",784,736,93.9,750,95.7
2021,DIV,"Augusta County Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Augusta County Public Schools",Asian,<,<,100,<,100
2021,DIV,"Augusta County Public Schools",Black,26,23,88.5,24,92.3
2021,DIV,"Augusta County Public Schools","Economically Disadvantaged",277,244,88.1,255,92.1
2021,DIV,"Augusta County Public Schools","English Learners",<,<,<,<,<
2021,DIV,"Augusta County Public Schools",Female,371,352,94.9,357,96.2
2021,DIV,"Augusta County Public Schools","Foster Care",<,<,100,<,100
2021,DIV,"Augusta County Public Schools",Hispanic,52,48,92.3,49,94.2
2021,DIV,"Augusta County Public Schools",Homeless,<,<,<,<,<
2021,DIV,"Augusta County Public Schools",Male,413,384,93,393,95.2
2021,DIV,"Augusta County Public Schools","Military Connected",<,<,100,<,100
2021,DIV,"Augusta County Public Schools","Multiple Races",25,23,92,23,92
2021,DIV,"Augusta County Public Schools","Students with Disabilities",72,64,88.9,67,93.1
2021,DIV,"Augusta County Public Schools",White,675,636,94.2,648,96
2021,DIV,"Bath County Public Schools","All Students",37,36,97.3,36,97.3
2021,DIV,"Bath County Public Schools",Black,<,<,<,<,<
2021,DIV,"Bath County Public Schools","Economically Disadvantaged",19,19,100,19,100
2021,DIV,"Bath County Public Schools",Female,17,17,100,17,100
2021,DIV,"Bath County Public Schools",Male,20,19,95,19,95
2021,DIV,"Bath County Public Schools","Multiple Races",<,<,100,<,100
2021,DIV,"Bath County Public Schools","Students with Disabilities",<,<,<,<,<
2021,DIV,"Bath County Public Schools",White,35,35,100,35,100
2021,DIV,"Bedford County Public Schools","All Students",750,700,93.3,715,95.3
2021,DIV,"Bedford County Public Schools",Asian,12,12,100,12,100
2021,DIV,"Bedford County Public Schools",Black,43,41,95.3,41,95.3
2021,DIV,"Bedford County Public Schools","Economically Disadvantaged",261,230,88.1,239,91.6
2021,DIV,"Bedford County Public Schools","English Learners",10,10,100,10,100
2021,DIV,"Bedford County Public Schools",Female,365,348,95.3,353,96.7
2021,DIV,"Bedford County Public Schools",Hispanic,35,33,94.3,34,97.1
2021,DIV,"Bedford County Public Schools",Homeless,11,9,81.8,9,81.8
2021,DIV,"Bedford County Public Schools",Male,385,352,91.4,362,94
2021,DIV,"Bedford County Public Schools","Military Connected",<,<,100,<,100
2021,DIV,"Bedford County Public Schools","Multiple Races",29,26,89.7,28,96.6
2021,DIV,"Bedford County Public Schools","Students with Disabilities",70,66,94.3,66,94.3
2021,DIV,"Bedford County Public Schools",White,631,588,93.2,600,95.1
2021,DIV,"Bland County Public Schools","All Students",52,51,98.1,51,98.1
2021,DIV,"Bland County Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Bland County Public Schools","Economically Disadvantaged",26,25,96.2,25,96.2
2021,DIV,"Bland County Public Schools",Female,31,30,96.8,30,96.8
2021,DIV,"Bland County Public Schools",Male,21,21,100,21,100
2021,DIV,"Bland County Public Schools","Multiple Races",<,<,100,<,100
2021,DIV,"Bland County Public Schools","Students with Disabilities",<,<,100,<,100
2021,DIV,"Bland County Public Schools",White,49,48,98,48,98
2021,DIV,"Botetourt County Public Schools","All Students",397,376,94.7,378,95.2
2021,DIV,"Botetourt County Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Botetourt County Public Schools",Asian,<,<,100,<,100
2021,DIV,"Botetourt County Public Schools",Black,<,<,<,<,<
2021,DIV,"Botetourt County Public Schools","Economically Disadvantaged",69,60,87,61,88.4
2021,DIV,"Botetourt County Public Schools","English Learners",<,<,<,<,<
2021,DIV,"Botetourt County Public Schools",Female,189,181,95.8,182,96.3
2021,DIV,"Botetourt County Public Schools","Foster Care",<,<,<,<,<
2021,DIV,"Botetourt County Public Schools",Hispanic,11,10,90.9,10,90.9
2021,DIV,"Botetourt County Public Schools",Homeless,<,<,100,<,100
2021,DIV,"Botetourt County Public Schools",Male,208,195,93.8,196,94.2
2021,DIV,"Botetourt County Public Schools","Military Connected",<,<,100,<,100
2021,DIV,"Botetourt County Public Schools","Multiple Races",22,20,90.9,20,90.9
2021,DIV,"Botetourt County Public Schools","Students with Disabilities",38,34,89.5,35,92.1
2021,DIV,"Botetourt County Public Schools",White,350,333,95.1,335,95.7
2021,DIV,"Bristol City Public Schools","All Students",167,148,88.6,149,89.2
2021,DIV,"Bristol City Public Schools",Asian,<,<,100,<,100
2021,DIV,"Bristol City Public Schools",Black,11,10,90.9,10,90.9
2021,DIV,"Bristol City Public Schools","Economically Disadvantaged",97,80,82.5,81,83.5
2021,DIV,"Bristol City Public Schools","English Learners",<,<,100,<,100
2021,DIV,"Bristol City Public Schools",Female,81,74,91.4,74,91.4
2021,DIV,"Bristol City Public Schools",Hispanic,<,<,<,<,<
2021,DIV,"Bristol City Public Schools",Homeless,<,<,100,<,100
2021,DIV,"Bristol City Public Schools",Male,86,74,86,75,87.2
2021,DIV,"Bristol City Public Schools","Multiple Races",12,11,91.7,11,91.7
2021,DIV,"Bristol City Public Schools","Students with Disabilities",21,20,95.2,20,95.2
2021,DIV,"Bristol City Public Schools",White,135,119,88.1,120,88.9
2021,DIV,"Brunswick County Public Schools","All Students",121,108,89.3,109,90.1
2021,DIV,"Brunswick County Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Brunswick County Public Schools",Black,102,91,89.2,92,90.2
2021,DIV,"Brunswick County Public Schools","Economically Disadvantaged",93,80,86,81,87.1
2021,DIV,"Brunswick County Public Schools","English Learners",<,<,100,<,100
2021,DIV,"Brunswick County Public Schools",Female,55,49,89.1,50,90.9
2021,DIV,"Brunswick County Public Schools",Hispanic,<,<,100,<,100
2021,DIV,"Brunswick County Public Schools",Male,66,59,89.4,59,89.4
2021,DIV,"Brunswick County Public Schools","Military Connected",<,<,100,<,100
2021,DIV,"Brunswick County Public Schools","Native Hawaiian",<,<,<,<,<
2021,DIV,"Brunswick County Public Schools","Students with Disabilities",17,16,94.1,16,94.1
2021,DIV,"Brunswick County Public Schools",White,14,13,92.9,13,92.9
2021,DIV,"Buchanan County Public Schools","All Students",205,187,91.2,189,92.2
2021,DIV,"Buchanan County Public Schools","Economically Disadvantaged",112,97,86.6,99,88.4
2021,DIV,"Buchanan County Public Schools",Female,97,94,96.9,95,97.9
2021,DIV,"Buchanan County Public Schools","Foster Care",<,<,<,<,<
2021,DIV,"Buchanan County Public Schools",Hispanic,<,<,<,<,<
2021,DIV,"Buchanan County Public Schools",Male,108,93,86.1,94,87
2021,DIV,"Buchanan County Public Schools","Students with Disabilities",36,30,83.3,30,83.3
2021,DIV,"Buchanan County Public Schools",White,204,187,91.7,189,92.6
2021,DIV,"Buckingham County Public Schools","All Students",136,125,91.9,127,93.4
2021,DIV,"Buckingham County Public Schools",Black,42,38,90.5,38,90.5
2021,DIV,"Buckingham County Public Schools","Economically Disadvantaged",63,56,88.9,58,92.1
2021,DIV,"Buckingham County Public Schools","English Learners",<,<,100,<,100
2021,DIV,"Buckingham County Public Schools",Female,63,57,90.5,59,93.7
2021,DIV,"Buckingham County Public Schools",Hispanic,<,<,100,<,100
2021,DIV,"Buckingham County Public Schools",Male,73,68,93.2,68,93.2
2021,DIV,"Buckingham County Public Schools","Military Connected",<,<,100,<,100
2021,DIV,"Buckingham County Public Schools","Multiple Races",<,<,<,<,<
2021,DIV,"Buckingham County Public Schools","Students with Disabilities",23,19,82.6,19,82.6
2021,DIV,"Buckingham County Public Schools",White,83,79,95.2,79,95.2
2021,DIV,"Buena Vista City Public Schools","All Students",77,68,88.3,70,90.9
2021,DIV,"Buena Vista City Public Schools","American Indian",<,<,<,<,<
2021,DIV,"Buena Vista City Public Schools",Black,<,<,100,<,100
2021,DIV,"Buena Vista City Public Schools","Economically Disadvantaged",29,23,79.3,24,82.8
2021,DIV,"Buena Vista City Public Schools",Female,43,38,88.4,38,88.4
2021,DIV,"Buena Vista City Public Schools",Hispanic,<,<,100,<,100
2021,DIV,"Buena Vista City Public Schools",Male,34,30,88.2,32,94.1
2021,DIV,"Buena Vista City Public Schools","Multiple Races",<,<,100,<,100
2021,DIV,"Buena Vista City Public Schools","Students with Disabilities",<,<,<,<,<
2021,DIV,"Buena Vista City Public Schools",White,67,59,88.1,61,91
2021,DIV,"Campbell County Public Schools","All Students",648,601,92.7,617,95.2
2021,DIV,"Campbell County Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Campbell County Public Schools",Asian,<,<,100,<,100
2021,DIV,"Campbell County Public Schools",Black,104,97,93.3,98,94.2
2021,DIV,"Campbell County Public Schools","Economically Disadvantaged",260,223,85.8,235,90.4
2021,DIV,"Campbell County Public Schools","English Learners",18,16,88.9,16,88.9
2021,DIV,"Campbell County Public Schools",Female,297,278,93.6,282,94.9
2021,DIV,"Campbell County Public Schools","Foster Care",<,<,<,<,<
2021,DIV,"Campbell County Public Schools",Hispanic,24,22,91.7,22,91.7
2021,DIV,"Campbell County Public Schools",Homeless,<,<,100,<,100
2021,DIV,"Campbell County Public Schools",Male,351,323,92,335,95.4
2021,DIV,"Campbell County Public Schools","Multiple Races",31,30,96.8,30,96.8
2021,DIV,"Campbell County Public Schools","Students with Disabilities",83,79,95.2,80,96.4
2021,DIV,"Campbell County Public Schools",White,476,439,92.2,454,95.4
2021,DIV,"Caroline County Public Schools","All Students",290,254,87.6,254,87.6
2021,DIV,"Caroline County Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Caroline County Public Schools",Asian,<,<,100,<,100
2021,DIV,"Caroline County Public Schools",Black,82,73,89,73,89
2021,DIV,"Caroline County Public Schools","Economically Disadvantaged",125,104,83.2,104,83.2
2021,DIV,"Caroline County Public Schools","English Learners",<,<,<,<,<
2021,DIV,"Caroline County Public Schools",Female,131,122,93.1,122,93.1
2021,DIV,"Caroline County Public Schools",Hispanic,24,19,79.2,19,79.2
2021,DIV,"Caroline County Public Schools",Homeless,<,<,<,<,<
2021,DIV,"Caroline County Public Schools",Male,159,132,83,132,83
2021,DIV,"Caroline County Public Schools","Military Connected",<,<,100,<,100
2021,DIV,"Caroline County Public Schools","Multiple Races",33,28,84.8,28,84.8
2021,DIV,"Caroline County Public Schools","Students with Disabilities",38,35,92.1,35,92.1
2021,DIV,"Caroline County Public Schools",White,146,129,88.4,129,88.4
2021,DIV,"Carroll County Public Schools","All Students",253,236,93.3,240,94.9
2021,DIV,"Carroll County Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Carroll County Public Schools",Asian,<,<,100,<,100
2021,DIV,"Carroll County Public Schools",Black,<,<,100,<,100
2021,DIV,"Carroll County Public Schools","Economically Disadvantaged",141,126,89.4,129,91.5
2021,DIV,"Carroll County Public Schools","English Learners",14,11,78.6,11,78.6
2021,DIV,"Carroll County Public Schools",Female,131,123,93.9,125,95.4
2021,DIV,"Carroll County Public Schools","Foster Care",<,<,<,<,<
2021,DIV,"Carroll County Public Schools",Hispanic,18,15,83.3,15,83.3
2021,DIV,"Carroll County Public Schools",Homeless,<,<,100,<,100
2021,DIV,"Carroll County Public Schools",Male,122,113,92.6,115,94.3
2021,DIV,"Carroll County Public Schools",Migrant,<,<,<,<,<
2021,DIV,"Carroll County Public Schools","Military Connected",<,<,<,<,<
2021,DIV,"Carroll County Public Schools","Multiple Races",<,<,100,<,100
2021,DIV,"Carroll County Public Schools","Students with Disabilities",42,36,85.7,38,90.5
2021,DIV,"Carroll County Public Schools",White,229,215,93.9,219,95.6
2021,DIV,"Charles City County Public Schools","All Students",33,31,93.9,31,93.9
2021,DIV,"Charles City County Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Charles City County Public Schools",Asian,<,<,100,<,100
2021,DIV,"Charles City County Public Schools",Black,21,19,90.5,19,90.5
2021,DIV,"Charles City County Public Schools","Economically Disadvantaged",14,13,92.9,13,92.9
2021,DIV,"Charles City County Public Schools",Female,<,<,100,<,100
2021,DIV,"Charles City County Public Schools","Foster Care",<,<,100,<,100
2021,DIV,"Charles City County Public Schools",Hispanic,<,<,100,<,100
2021,DIV,"Charles City County Public Schools",Homeless,<,<,100,<,100
2021,DIV,"Charles City County Public Schools",Male,24,22,91.7,22,91.7
2021,DIV,"Charles City County Public Schools","Military Connected",<,<,100,<,100
2021,DIV,"Charles City County Public Schools","Multiple Races",<,<,100,<,100
2021,DIV,"Charles City County Public Schools","Students with Disabilities",<,<,100,<,100
2021,DIV,"Charles City County Public Schools",White,<,<,100,<,100
2021,DIV,"Charlotte County Public Schools","All Students",162,149,92,153,94.4
2021,DIV,"Charlotte County Public Schools",Asian,<,<,100,<,100
2021,DIV,"Charlotte County Public Schools",Black,45,40,88.9,42,93.3
2021,DIV,"Charlotte County Public Schools","Economically Disadvantaged",88,80,90.9,82,93.2
2021,DIV,"Charlotte County Public Schools","English Learners",<,<,100,<,100
2021,DIV,"Charlotte County Public Schools",Female,82,81,98.8,81,98.8
2021,DIV,"Charlotte County Public Schools",Hispanic,<,<,100,<,100
2021,DIV,"Charlotte County Public Schools",Male,80,68,85,72,90
2021,DIV,"Charlotte County Public Schools","Multiple Races",<,<,<,<,<
2021,DIV,"Charlotte County Public Schools","Students with Disabilities",24,21,87.5,21,87.5
2021,DIV,"Charlotte County Public Schools",White,100,93,93,95,95
2021,DIV,"Charlottesville City Public Schools","All Students",298,277,93,277,93
2021,DIV,"Charlottesville City Public Schools",Asian,16,16,100,16,100
2021,DIV,"Charlottesville City Public Schools",Black,72,65,90.3,65,90.3
2021,DIV,"Charlottesville City Public Schools","Economically Disadvantaged",135,121,89.6,121,89.6
2021,DIV,"Charlottesville City Public Schools","English Learners",34,25,73.5,25,73.5
2021,DIV,"Charlottesville City Public Schools",Female,144,134,93.1,134,93.1
2021,DIV,"Charlottesville City Public Schools","Foster Care",<,<,<,<,<
2021,DIV,"Charlottesville City Public Schools",Hispanic,39,30,76.9,30,76.9
2021,DIV,"Charlottesville City Public Schools",Homeless,<,<,<,<,<
2021,DIV,"Charlottesville City Public Schools",Male,154,143,92.9,143,92.9
2021,DIV,"Charlottesville City Public Schools","Multiple Races",30,29,96.7,29,96.7
2021,DIV,"Charlottesville City Public Schools","Students with Disabilities",47,43,91.5,43,91.5
2021,DIV,"Charlottesville City Public Schools",White,141,137,97.2,137,97.2
2021,DIV,"Chesapeake City Public Schools","All Students",3283,3070,93.5,3110,94.7
2021,DIV,"Chesapeake City Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Chesapeake City Public Schools",Asian,110,109,99.1,110,100
2021,DIV,"Chesapeake City Public Schools",Black,1115,1030,92.4,1041,93.4
2021,DIV,"Chesapeake City Public Schools","Economically Disadvantaged",1164,1041,89.4,1059,91
2021,DIV,"Chesapeake City Public Schools","English Learners",51,31,60.8,34,66.7
2021,DIV,"Chesapeake City Public Schools",Female,1604,1534,95.6,1544,96.3
2021,DIV,"Chesapeake City Public Schools","Foster Care",<,<,<,<,<
2021,DIV,"Chesapeake City Public Schools",Hispanic,325,284,87.4,289,88.9
2021,DIV,"Chesapeake City Public Schools",Homeless,22,18,81.8,19,86.4
2021,DIV,"Chesapeake City Public Schools",Male,1677,1534,91.5,1564,93.3
2021,DIV,"Chesapeake City Public Schools","Military Connected",489,479,98,483,98.8
2021,DIV,"Chesapeake City Public Schools","Multiple Races",259,245,94.6,248,95.8
2021,DIV,"Chesapeake City Public Schools","Native Hawaiian",<,<,100,<,100
2021,DIV,"Chesapeake City Public Schools","Students with Disabilities",567,522,92.1,527,92.9
2021,DIV,"Chesapeake City Public Schools",White,1456,1384,95.1,1404,96.4
2021,DIV,"Chesterfield County Public Schools","All Students",5141,4704,91.5,4751,92.4
2021,DIV,"Chesterfield County Public Schools","American Indian",10,10,100,10,100
2021,DIV,"Chesterfield County Public Schools",Asian,201,200,99.5,200,99.5
2021,DIV,"Chesterfield County Public Schools",Black,1391,1278,91.9,1285,92.4
2021,DIV,"Chesterfield County Public Schools","Economically Disadvantaged",1635,1372,83.9,1397,85.4
2021,DIV,"Chesterfield County Public Schools","English Learners",378,275,72.8,278,73.5
2021,DIV,"Chesterfield County Public Schools",Female,2538,2377,93.7,2395,94.4
2021,DIV,"Chesterfield County Public Schools","Foster Care",13,7,53.8,9,69.2
2021,DIV,"Chesterfield County Public Schools",Hispanic,853,694,81.4,702,82.3
2021,DIV,"Chesterfield County Public Schools",Homeless,58,45,77.6,46,79.3
2021,DIV,"Chesterfield County Public Schools",Male,2603,2327,89.4,2356,90.5
2021,DIV,"Chesterfield County Public Schools","Military Connected",55,54,98.2,54,98.2
2021,DIV,"Chesterfield County Public Schools","Multiple Races",247,231,93.5,233,94.3
2021,DIV,"Chesterfield County Public Schools","Native Hawaiian",<,<,100,<,100
2021,DIV,"Chesterfield County Public Schools","Students with Disabilities",565,505,89.4,515,91.2
2021,DIV,"Chesterfield County Public Schools",White,2430,2282,93.9,2312,95.1
2021,DIV,"Clarke County Public Schools","All Students",167,163,97.6,163,97.6
2021,DIV,"Clarke County Public Schools",Asian,<,<,100,<,100
2021,DIV,"Clarke County Public Schools",Black,<,<,100,<,100
2021,DIV,"Clarke County Public Schools","Economically Disadvantaged",29,28,96.6,28,96.6
2021,DIV,"Clarke County Public Schools","English Learners",<,<,<,<,<
2021,DIV,"Clarke County Public Schools",Female,93,91,97.8,91,97.8
2021,DIV,"Clarke County Public Schools",Hispanic,13,12,92.3,12,92.3
2021,DIV,"Clarke County Public Schools",Male,74,72,97.3,72,97.3
2021,DIV,"Clarke County Public Schools","Military Connected",<,<,100,<,100
2021,DIV,"Clarke County Public Schools","Multiple Races",<,<,100,<,100
2021,DIV,"Clarke County Public Schools","Students with Disabilities",15,15,100,15,100
2021,DIV,"Clarke County Public Schools",White,139,136,97.8,136,97.8
2021,DIV,"Colonial Beach Public Schools","All Students",51,45,88.2,47,92.2
2021,DIV,"Colonial Beach Public Schools","American Indian",<,<,100,<,100
2021,DIV,"Colonial Beach Public Schools",Asian,<,<,100,<,100
2021,DIV,"Colonial Beach Public Schools",Black,<,<,<,<,<
2021,DIV,"Colonial Beach Public Schools","Economically Disadvantaged",29,26,89.7,28,96.6
2021,DIV,"Colonial Beach Public Schools","English Learners",<,<,<,<,<
2021,DIV,"Colonial Beach Public Schools",Female,26,24,92.3,24,92.3
2021,DIV,"Colonial Beach Public Schools",Hispanic,<,<,100,<,100
2021,DIV,"Colonial Beach Public Schools",Homeless,<,<,100,<,100
2021,DIV,"Colonial Beach Public Schools",Male,25,21,84,23,92
2021,DIV,"Colonial Beach Public Schools","Multiple Races",<,<,100,<,100
2021,DIV,"Colonial Beach Public Schools","Native Hawaiian",<,<,<,<,<
2021,DIV,"Colonial Beach Public Schools","Students with Disabilities",<,<,<,<,<
2021,DIV,"Colonial Beach Public Schools",White,35,32,91.4,33,94.3
2021,DIV,"Colonial Heights City Public Schools","All Students",211,186,88.2,191,90.5
2021,DIV,"Colonial Heights City Public Schools",Asian,<,<,<,<,<
2021,DIV,"Colonial Heights City Public Schools",Black,45,40,88.9,41,91.1
2021,DIV,"Colonial Heights City Public Schools","Economically Disadvantaged",132,113,85.6,117,88.6
2021,DIV,"Colonial Heights City Public Schools","English Learners",<,<,<,<,<
2021,DIV,"Colonial Heights City Public Schools",Female,105,93,88.6,95,90.5
2021,DIV,"Colonial Heights City Public Schools",Hispanic,16,13,81.3,13,81.3
2021,DIV,"Colonial Heights City Public Schools",Male,106,93,87.7,96,90.6
2021,DIV,"Colonial Heights City Public Schools","Multiple Races",14,12,85.7,13,92.9
