"Postsecondary Enrollment"
4/3/2023

Year,Level,Division,Subgroup,"Students earning a federally recognized high school diploma","Students enrolled in higher education within 16 months of graduation",Percent
2018,DIV,"Alleghany Highlands Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Alleghany Highlands Public Schools",White,151,89,59
2018,DIV,"Amelia County Public Schools","All Students",134,73,54
2018,DIV,"Amelia County Public Schools",Asian,<,<,<
2018,DIV,"Amelia County Public Schools",Black,36,18,50
2018,DIV,"Amelia County Public Schools","Economically Disadvantaged",49,23,47
2018,DIV,"Amelia County Public Schools","English Learners",<,<,<
2018,DIV,"Amelia County Public Schools",Female,63,40,63
2018,DIV,"Amelia County Public Schools",Hispanic,<,<,<
2018,DIV,"Amelia County Public Schools",Male,71,33,46
2018,DIV,"Amelia County Public Schools","Multiple Races",<,<,<
2018,DIV,"Amelia County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Amelia County Public Schools",White,84,47,56
2018,DIV,"Amherst County Public Schools","All Students",236,115,49
2018,DIV,"Amherst County Public Schools","American Indian",<,<,<
2018,DIV,"Amherst County Public Schools",Asian,<,<,<
2018,DIV,"Amherst County Public Schools",Black,50,24,48
2018,DIV,"Amherst County Public Schools","Economically Disadvantaged",110,41,37
2018,DIV,"Amherst County Public Schools","English Learners",<,<,<
2018,DIV,"Amherst County Public Schools",Female,111,65,59
2018,DIV,"Amherst County Public Schools",Hispanic,12,<,<
2018,DIV,"Amherst County Public Schools",Male,125,50,40
2018,DIV,"Amherst County Public Schools","Multiple Races",11,<,<
2018,DIV,"Amherst County Public Schools","Students with Disabilities",15,<,<
2018,DIV,"Amherst County Public Schools",White,158,81,51
2018,DIV,"Appomattox County Public Schools","All Students",168,74,44
2018,DIV,"Appomattox County Public Schools",Asian,<,<,<
2018,DIV,"Appomattox County Public Schools",Black,36,16,44
2018,DIV,"Appomattox County Public Schools","Economically Disadvantaged",65,21,32
2018,DIV,"Appomattox County Public Schools",Female,77,42,55
2018,DIV,"Appomattox County Public Schools",Hispanic,<,<,<
2018,DIV,"Appomattox County Public Schools",Male,91,32,35
2018,DIV,"Appomattox County Public Schools","Multiple Races",<,<,<
2018,DIV,"Appomattox County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Appomattox County Public Schools",White,119,52,44
2018,DIV,"Arlington County Public Schools","All Students",1524,1210,79
2018,DIV,"Arlington County Public Schools","American Indian",<,<,<
2018,DIV,"Arlington County Public Schools",Asian,156,128,82
2018,DIV,"Arlington County Public Schools",Black,162,123,76
2018,DIV,"Arlington County Public Schools","Economically Disadvantaged",404,249,62
2018,DIV,"Arlington County Public Schools","English Learners",265,150,57
2018,DIV,"Arlington County Public Schools",Female,727,601,83
2018,DIV,"Arlington County Public Schools",Hispanic,377,228,60
2018,DIV,"Arlington County Public Schools",Male,797,609,76
2018,DIV,"Arlington County Public Schools","Multiple Races",96,79,82
2018,DIV,"Arlington County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Arlington County Public Schools","Students with Disabilities",207,137,66
2018,DIV,"Arlington County Public Schools",White,726,648,89
2018,DIV,"Augusta County Public Schools","All Students",711,413,58
2018,DIV,"Augusta County Public Schools","American Indian",<,<,<
2018,DIV,"Augusta County Public Schools",Asian,<,<,<
2018,DIV,"Augusta County Public Schools",Black,10,<,<
2018,DIV,"Augusta County Public Schools","Economically Disadvantaged",199,82,41
2018,DIV,"Augusta County Public Schools","English Learners",<,<,<
2018,DIV,"Augusta County Public Schools",Female,346,232,67
2018,DIV,"Augusta County Public Schools",Hispanic,29,16,55
2018,DIV,"Augusta County Public Schools",Male,365,181,50
2018,DIV,"Augusta County Public Schools","Multiple Races",18,<,<
2018,DIV,"Augusta County Public Schools","Students with Disabilities",26,<,<
2018,DIV,"Augusta County Public Schools",White,645,379,59
2018,DIV,"Bath County Public Schools","All Students",41,29,71
2018,DIV,"Bath County Public Schools","American Indian",<,<,<
2018,DIV,"Bath County Public Schools",Black,<,<,<
2018,DIV,"Bath County Public Schools","Economically Disadvantaged",12,<,<
2018,DIV,"Bath County Public Schools",Female,17,14,82
2018,DIV,"Bath County Public Schools",Male,24,15,63
2018,DIV,"Bath County Public Schools","Multiple Races",<,<,<
2018,DIV,"Bath County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Bath County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Bath County Public Schools",White,37,27,73
2018,DIV,"Bedford County Public Schools","All Students",692,465,67
2018,DIV,"Bedford County Public Schools","American Indian",<,<,<
2018,DIV,"Bedford County Public Schools",Asian,11,10,91
2018,DIV,"Bedford County Public Schools",Black,37,23,62
2018,DIV,"Bedford County Public Schools","Economically Disadvantaged",174,79,45
2018,DIV,"Bedford County Public Schools","English Learners",<,<,<
2018,DIV,"Bedford County Public Schools",Female,372,279,75
2018,DIV,"Bedford County Public Schools",Hispanic,18,13,72
2018,DIV,"Bedford County Public Schools",Male,320,186,58
2018,DIV,"Bedford County Public Schools","Multiple Races",20,<,<
2018,DIV,"Bedford County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Bedford County Public Schools","Students with Disabilities",38,<,<
2018,DIV,"Bedford County Public Schools",White,602,408,68
2018,DIV,"Bland County Public Schools","All Students",65,47,72
2018,DIV,"Bland County Public Schools","Economically Disadvantaged",26,16,62
2018,DIV,"Bland County Public Schools",Female,27,23,85
2018,DIV,"Bland County Public Schools",Male,38,24,63
2018,DIV,"Bland County Public Schools","Multiple Races",<,<,<
2018,DIV,"Bland County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Bland County Public Schools",White,61,45,74
2018,DIV,"Botetourt County Public Schools","All Students",356,273,77
2018,DIV,"Botetourt County Public Schools",Asian,<,<,<
2018,DIV,"Botetourt County Public Schools",Black,<,<,<
2018,DIV,"Botetourt County Public Schools","Economically Disadvantaged",49,28,57
2018,DIV,"Botetourt County Public Schools",Female,173,143,83
2018,DIV,"Botetourt County Public Schools",Hispanic,<,<,<
2018,DIV,"Botetourt County Public Schools",Male,183,130,71
2018,DIV,"Botetourt County Public Schools","Multiple Races",<,<,<
2018,DIV,"Botetourt County Public Schools","Students with Disabilities",25,11,44
2018,DIV,"Botetourt County Public Schools",White,334,255,76
2018,DIV,"Bristol City Public Schools","All Students",149,94,63
2018,DIV,"Bristol City Public Schools",Asian,<,<,<
2018,DIV,"Bristol City Public Schools",Black,<,<,<
2018,DIV,"Bristol City Public Schools","Economically Disadvantaged",79,36,46
2018,DIV,"Bristol City Public Schools","English Learners",<,<,<
2018,DIV,"Bristol City Public Schools",Female,73,46,63
2018,DIV,"Bristol City Public Schools",Male,76,48,63
2018,DIV,"Bristol City Public Schools","Multiple Races",<,<,<
2018,DIV,"Bristol City Public Schools","Students with Disabilities",13,<,<
2018,DIV,"Bristol City Public Schools",White,131,86,66
2018,DIV,"Brunswick County Public Schools","All Students",99,55,56
2018,DIV,"Brunswick County Public Schools","American Indian",<,<,<
2018,DIV,"Brunswick County Public Schools",Black,74,43,58
2018,DIV,"Brunswick County Public Schools","Economically Disadvantaged",51,25,49
2018,DIV,"Brunswick County Public Schools","English Learners",<,<,<
2018,DIV,"Brunswick County Public Schools",Female,57,37,65
2018,DIV,"Brunswick County Public Schools",Hispanic,<,<,<
2018,DIV,"Brunswick County Public Schools",Male,42,18,43
2018,DIV,"Brunswick County Public Schools","Multiple Races",<,<,<
2018,DIV,"Brunswick County Public Schools","Students with Disabilities",16,<,<
2018,DIV,"Brunswick County Public Schools",White,21,<,<
2018,DIV,"Buchanan County Public Schools","All Students",192,127,66
2018,DIV,"Buchanan County Public Schools","Economically Disadvantaged",116,66,57
2018,DIV,"Buchanan County Public Schools",Female,102,78,76
2018,DIV,"Buchanan County Public Schools",Hispanic,<,<,<
2018,DIV,"Buchanan County Public Schools",Male,90,49,54
2018,DIV,"Buchanan County Public Schools","Multiple Races",<,<,<
2018,DIV,"Buchanan County Public Schools","Students with Disabilities",23,<,<
2018,DIV,"Buchanan County Public Schools",White,189,126,67
2018,DIV,"Buckingham County Public Schools","All Students",113,55,49
2018,DIV,"Buckingham County Public Schools",Asian,<,<,<
2018,DIV,"Buckingham County Public Schools",Black,39,19,49
2018,DIV,"Buckingham County Public Schools","Economically Disadvantaged",60,25,42
2018,DIV,"Buckingham County Public Schools","English Learners",<,<,<
2018,DIV,"Buckingham County Public Schools",Female,57,36,63
2018,DIV,"Buckingham County Public Schools",Hispanic,<,<,<
2018,DIV,"Buckingham County Public Schools",Male,56,19,34
2018,DIV,"Buckingham County Public Schools","Multiple Races",<,<,<
2018,DIV,"Buckingham County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Buckingham County Public Schools",White,61,31,51
2018,DIV,"Buena Vista City Public Schools","All Students",98,55,56
2018,DIV,"Buena Vista City Public Schools","American Indian",<,<,<
2018,DIV,"Buena Vista City Public Schools",Black,<,<,<
2018,DIV,"Buena Vista City Public Schools","Economically Disadvantaged",31,15,48
2018,DIV,"Buena Vista City Public Schools",Female,54,33,61
2018,DIV,"Buena Vista City Public Schools",Male,44,22,50
2018,DIV,"Buena Vista City Public Schools","Multiple Races",<,<,<
2018,DIV,"Buena Vista City Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Buena Vista City Public Schools",White,90,52,58
2018,DIV,"Campbell County Public Schools","All Students",583,307,53
2018,DIV,"Campbell County Public Schools","American Indian",<,<,<
2018,DIV,"Campbell County Public Schools",Asian,<,<,<
2018,DIV,"Campbell County Public Schools",Black,84,48,57
2018,DIV,"Campbell County Public Schools","Economically Disadvantaged",195,70,36
2018,DIV,"Campbell County Public Schools","English Learners",<,<,<
2018,DIV,"Campbell County Public Schools",Female,279,163,58
2018,DIV,"Campbell County Public Schools",Hispanic,12,<,<
2018,DIV,"Campbell County Public Schools",Male,304,144,47
2018,DIV,"Campbell County Public Schools","Multiple Races",20,10,50
2018,DIV,"Campbell County Public Schools","Students with Disabilities",44,14,32
2018,DIV,"Campbell County Public Schools",White,457,237,52
2018,DIV,"Caroline County Public Schools","All Students",263,118,45
2018,DIV,"Caroline County Public Schools","American Indian",<,<,<
2018,DIV,"Caroline County Public Schools",Asian,<,<,<
2018,DIV,"Caroline County Public Schools",Black,60,31,52
2018,DIV,"Caroline County Public Schools","Economically Disadvantaged",104,42,40
2018,DIV,"Caroline County Public Schools","English Learners",<,<,<
2018,DIV,"Caroline County Public Schools",Female,135,75,56
2018,DIV,"Caroline County Public Schools",Hispanic,16,11,69
2018,DIV,"Caroline County Public Schools",Male,128,43,34
2018,DIV,"Caroline County Public Schools","Multiple Races",21,12,57
2018,DIV,"Caroline County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Caroline County Public Schools","Students with Disabilities",36,<,<
2018,DIV,"Caroline County Public Schools",White,158,63,40
2018,DIV,"Carroll County Public Schools","All Students",244,119,49
2018,DIV,"Carroll County Public Schools","American Indian",<,<,<
2018,DIV,"Carroll County Public Schools",Black,<,<,<
2018,DIV,"Carroll County Public Schools","Economically Disadvantaged",109,38,35
2018,DIV,"Carroll County Public Schools","English Learners",<,<,<
2018,DIV,"Carroll County Public Schools",Female,107,66,62
2018,DIV,"Carroll County Public Schools",Hispanic,12,<,<
2018,DIV,"Carroll County Public Schools",Male,137,53,39
2018,DIV,"Carroll County Public Schools","Multiple Races",<,<,<
2018,DIV,"Carroll County Public Schools","Students with Disabilities",32,<,<
2018,DIV,"Carroll County Public Schools",White,229,112,49
2018,DIV,"Charles City County Public Schools","All Students",41,17,41
2018,DIV,"Charles City County Public Schools","American Indian",<,<,<
2018,DIV,"Charles City County Public Schools",Black,25,13,52
2018,DIV,"Charles City County Public Schools","Economically Disadvantaged",19,<,<
2018,DIV,"Charles City County Public Schools","English Learners",<,<,<
2018,DIV,"Charles City County Public Schools",Female,20,11,55
2018,DIV,"Charles City County Public Schools",Hispanic,<,<,<
2018,DIV,"Charles City County Public Schools",Male,21,<,<
2018,DIV,"Charles City County Public Schools","Multiple Races",<,<,<
2018,DIV,"Charles City County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Charles City County Public Schools",White,11,<,<
2018,DIV,"Charlotte County Public Schools","All Students",119,77,65
2018,DIV,"Charlotte County Public Schools",Black,32,21,66
2018,DIV,"Charlotte County Public Schools","Economically Disadvantaged",46,23,50
2018,DIV,"Charlotte County Public Schools",Female,58,40,69
2018,DIV,"Charlotte County Public Schools",Hispanic,<,<,<
2018,DIV,"Charlotte County Public Schools",Male,61,37,61
2018,DIV,"Charlotte County Public Schools","Multiple Races",<,<,<
2018,DIV,"Charlotte County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Charlotte County Public Schools",White,84,55,65
2018,DIV,"Charlottesville City Public Schools","All Students",254,176,69
2018,DIV,"Charlottesville City Public Schools",Asian,12,10,83
2018,DIV,"Charlottesville City Public Schools",Black,87,52,60
2018,DIV,"Charlottesville City Public Schools","Economically Disadvantaged",101,61,60
2018,DIV,"Charlottesville City Public Schools","English Learners",21,14,67
2018,DIV,"Charlottesville City Public Schools",Female,132,100,76
2018,DIV,"Charlottesville City Public Schools",Hispanic,30,18,60
2018,DIV,"Charlottesville City Public Schools",Male,122,76,62
2018,DIV,"Charlottesville City Public Schools","Multiple Races",11,<,<
2018,DIV,"Charlottesville City Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Charlottesville City Public Schools","Students with Disabilities",29,15,52
2018,DIV,"Charlottesville City Public Schools",White,113,88,78
2018,DIV,"Chesapeake City Public Schools","All Students",2921,2045,70
2018,DIV,"Chesapeake City Public Schools","American Indian",<,<,<
2018,DIV,"Chesapeake City Public Schools",Asian,87,72,83
2018,DIV,"Chesapeake City Public Schools",Black,937,606,65
2018,DIV,"Chesapeake City Public Schools","Economically Disadvantaged",788,422,54
2018,DIV,"Chesapeake City Public Schools","English Learners",37,22,59
2018,DIV,"Chesapeake City Public Schools",Female,1526,1160,76
2018,DIV,"Chesapeake City Public Schools",Hispanic,221,155,70
2018,DIV,"Chesapeake City Public Schools",Male,1395,885,63
2018,DIV,"Chesapeake City Public Schools","Multiple Races",180,125,69
2018,DIV,"Chesapeake City Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Chesapeake City Public Schools","Students with Disabilities",277,138,50
2018,DIV,"Chesapeake City Public Schools",White,1483,1075,72
2018,DIV,"Chesterfield County Public Schools","All Students",4473,3144,70
2018,DIV,"Chesterfield County Public Schools","American Indian",10,<,<
2018,DIV,"Chesterfield County Public Schools",Asian,154,129,84
2018,DIV,"Chesterfield County Public Schools",Black,1239,831,67
2018,DIV,"Chesterfield County Public Schools","Economically Disadvantaged",1505,827,55
2018,DIV,"Chesterfield County Public Schools","English Learners",165,64,39
2018,DIV,"Chesterfield County Public Schools",Female,2187,1687,77
2018,DIV,"Chesterfield County Public Schools",Hispanic,544,304,56
2018,DIV,"Chesterfield County Public Schools",Male,2286,1457,64
2018,DIV,"Chesterfield County Public Schools","Multiple Races",203,144,71
2018,DIV,"Chesterfield County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Chesterfield County Public Schools","Students with Disabilities",365,159,44
2018,DIV,"Chesterfield County Public Schools",White,2318,1730,75
2018,DIV,"Clarke County Public Schools","All Students",174,131,75
2018,DIV,"Clarke County Public Schools","American Indian",<,<,<
2018,DIV,"Clarke County Public Schools",Asian,<,<,<
2018,DIV,"Clarke County Public Schools",Black,<,<,<
2018,DIV,"Clarke County Public Schools","Economically Disadvantaged",26,16,62
2018,DIV,"Clarke County Public Schools","English Learners",<,<,<
2018,DIV,"Clarke County Public Schools",Female,95,80,84
2018,DIV,"Clarke County Public Schools",Hispanic,15,10,67
2018,DIV,"Clarke County Public Schools",Male,79,51,65
2018,DIV,"Clarke County Public Schools","Multiple Races",<,<,<
2018,DIV,"Clarke County Public Schools","Students with Disabilities",15,<,<
2018,DIV,"Clarke County Public Schools",White,146,113,77
2018,DIV,"Colonial Beach Public Schools","All Students",46,31,67
2018,DIV,"Colonial Beach Public Schools",Black,<,<,<
2018,DIV,"Colonial Beach Public Schools","Economically Disadvantaged",17,11,65
2018,DIV,"Colonial Beach Public Schools",Female,25,19,76
2018,DIV,"Colonial Beach Public Schools",Hispanic,<,<,<
2018,DIV,"Colonial Beach Public Schools",Male,21,12,57
2018,DIV,"Colonial Beach Public Schools","Multiple Races",<,<,<
2018,DIV,"Colonial Beach Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Colonial Beach Public Schools",White,34,24,71
2018,DIV,"Colonial Heights City Public Schools","All Students",214,147,69
2018,DIV,"Colonial Heights City Public Schools","American Indian",<,<,<
2018,DIV,"Colonial Heights City Public Schools",Asian,<,<,<
2018,DIV,"Colonial Heights City Public Schools",Black,37,22,59
2018,DIV,"Colonial Heights City Public Schools","Economically Disadvantaged",115,71,62
2018,DIV,"Colonial Heights City Public Schools","English Learners",<,<,<
2018,DIV,"Colonial Heights City Public Schools",Female,105,85,81
2018,DIV,"Colonial Heights City Public Schools",Hispanic,15,<,<
2018,DIV,"Colonial Heights City Public Schools",Male,109,62,57
2018,DIV,"Colonial Heights City Public Schools","Multiple Races",12,<,<
2018,DIV,"Colonial Heights City Public Schools","Students with Disabilities",31,12,39
2018,DIV,"Colonial Heights City Public Schools",White,140,101,72
2018,DIV,"Craig County Public Schools","All Students",50,28,56
2018,DIV,"Craig County Public Schools","Economically Disadvantaged",15,<,<
2018,DIV,"Craig County Public Schools",Female,27,19,70
2018,DIV,"Craig County Public Schools",Hispanic,<,<,<
2018,DIV,"Craig County Public Schools",Male,23,<,<
2018,DIV,"Craig County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Craig County Public Schools",White,49,28,57
2018,DIV,"Culpeper County Public Schools","All Students",556,298,54
2018,DIV,"Culpeper County Public Schools","American Indian",<,<,<
2018,DIV,"Culpeper County Public Schools",Asian,<,<,<
2018,DIV,"Culpeper County Public Schools",Black,70,40,57
2018,DIV,"Culpeper County Public Schools","Economically Disadvantaged",195,82,42
2018,DIV,"Culpeper County Public Schools","English Learners",32,11,34
2018,DIV,"Culpeper County Public Schools",Female,274,175,64
2018,DIV,"Culpeper County Public Schools",Hispanic,104,50,48
2018,DIV,"Culpeper County Public Schools",Male,282,123,44
2018,DIV,"Culpeper County Public Schools","Multiple Races",25,15,60
2018,DIV,"Culpeper County Public Schools","Students with Disabilities",32,12,38
2018,DIV,"Culpeper County Public Schools",White,347,184,53
2018,DIV,"Cumberland County Public Schools","All Students",106,53,50
2018,DIV,"Cumberland County Public Schools",Asian,<,<,<
2018,DIV,"Cumberland County Public Schools",Black,51,25,49
2018,DIV,"Cumberland County Public Schools","Economically Disadvantaged",75,33,44
2018,DIV,"Cumberland County Public Schools","English Learners",<,<,<
2018,DIV,"Cumberland County Public Schools",Female,50,28,56
2018,DIV,"Cumberland County Public Schools",Hispanic,<,<,<
2018,DIV,"Cumberland County Public Schools",Male,56,25,45
2018,DIV,"Cumberland County Public Schools","Multiple Races",<,<,<
2018,DIV,"Cumberland County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Cumberland County Public Schools",White,48,25,52
2018,DIV,"Danville City Public Schools","All Students",315,199,63
2018,DIV,"Danville City Public Schools",Asian,<,<,<
2018,DIV,"Danville City Public Schools",Black,195,113,58
2018,DIV,"Danville City Public Schools","Economically Disadvantaged",132,73,55
2018,DIV,"Danville City Public Schools","English Learners",<,<,<
2018,DIV,"Danville City Public Schools",Female,171,112,65
2018,DIV,"Danville City Public Schools",Hispanic,19,12,63
2018,DIV,"Danville City Public Schools",Male,144,87,60
2018,DIV,"Danville City Public Schools","Multiple Races",<,<,<
2018,DIV,"Danville City Public Schools","Students with Disabilities",16,<,<
2018,DIV,"Danville City Public Schools",White,87,63,72
2018,DIV,"Department of Juvenile Justice","All Students",24,10,42
2018,DIV,"Department of Juvenile Justice",Black,17,<,<
2018,DIV,"Department of Juvenile Justice","Economically Disadvantaged",24,10,42
2018,DIV,"Department of Juvenile Justice","English Learners",<,<,<
2018,DIV,"Department of Juvenile Justice",Female,<,<,<
2018,DIV,"Department of Juvenile Justice",Hispanic,<,<,<
2018,DIV,"Department of Juvenile Justice",Male,22,10,45
2018,DIV,"Department of Juvenile Justice","Multiple Races",<,<,<
2018,DIV,"Department of Juvenile Justice","Students with Disabilities",<,<,<
2018,DIV,"Department of Juvenile Justice",White,<,<,<
2018,DIV,"Dickenson County Public Schools","All Students",135,77,57
2018,DIV,"Dickenson County Public Schools",Black,<,<,<
2018,DIV,"Dickenson County Public Schools","Economically Disadvantaged",81,40,49
2018,DIV,"Dickenson County Public Schools",Female,61,40,66
2018,DIV,"Dickenson County Public Schools",Male,74,37,50
2018,DIV,"Dickenson County Public Schools","Students with Disabilities",19,<,<
2018,DIV,"Dickenson County Public Schools",White,134,76,57
2018,DIV,"Dinwiddie County Public Schools","All Students",266,140,53
2018,DIV,"Dinwiddie County Public Schools","American Indian",<,<,<
2018,DIV,"Dinwiddie County Public Schools",Black,98,53,54
2018,DIV,"Dinwiddie County Public Schools","Economically Disadvantaged",118,41,35
2018,DIV,"Dinwiddie County Public Schools","English Learners",<,<,<
2018,DIV,"Dinwiddie County Public Schools",Female,129,88,68
2018,DIV,"Dinwiddie County Public Schools",Hispanic,<,<,<
2018,DIV,"Dinwiddie County Public Schools",Male,137,52,38
2018,DIV,"Dinwiddie County Public Schools","Multiple Races",19,<,<
2018,DIV,"Dinwiddie County Public Schools","Students with Disabilities",10,<,<
2018,DIV,"Dinwiddie County Public Schools",White,140,75,54
2018,DIV,"Essex County Public Schools","All Students",79,44,56
2018,DIV,"Essex County Public Schools",Asian,<,<,<
2018,DIV,"Essex County Public Schools",Black,43,26,60
2018,DIV,"Essex County Public Schools","Economically Disadvantaged",58,29,50
2018,DIV,"Essex County Public Schools","English Learners",<,<,<
2018,DIV,"Essex County Public Schools",Female,45,31,69
2018,DIV,"Essex County Public Schools",Hispanic,<,<,<
2018,DIV,"Essex County Public Schools",Male,34,13,38
2018,DIV,"Essex County Public Schools","Multiple Races",<,<,<
2018,DIV,"Essex County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Essex County Public Schools",White,23,13,57
2018,DIV,"Fairfax County Public Schools","All Students",12885,10579,82
2018,DIV,"Fairfax County Public Schools","American Indian",21,17,81
2018,DIV,"Fairfax County Public Schools",Asian,2861,2524,88
2018,DIV,"Fairfax County Public Schools",Black,1347,1082,80
2018,DIV,"Fairfax County Public Schools","Economically Disadvantaged",3018,2069,69
2018,DIV,"Fairfax County Public Schools","English Learners",1718,1019,59
2018,DIV,"Fairfax County Public Schools",Female,6337,5374,85
2018,DIV,"Fairfax County Public Schools",Hispanic,2532,1608,64
2018,DIV,"Fairfax County Public Schools",Male,6548,5205,79
2018,DIV,"Fairfax County Public Schools","Multiple Races",656,550,84
2018,DIV,"Fairfax County Public Schools","Native Hawaiian",19,11,58
2018,DIV,"Fairfax County Public Schools","Students with Disabilities",1420,919,65
2018,DIV,"Fairfax County Public Schools",White,5449,4787,88
2018,DIV,"Falls Church City Public Schools","All Students",200,180,90
2018,DIV,"Falls Church City Public Schools","American Indian",<,<,<
2018,DIV,"Falls Church City Public Schools",Asian,19,18,95
2018,DIV,"Falls Church City Public Schools",Black,<,<,<
2018,DIV,"Falls Church City Public Schools","Economically Disadvantaged",19,17,89
2018,DIV,"Falls Church City Public Schools","English Learners",19,14,74
2018,DIV,"Falls Church City Public Schools",Female,107,99,93
2018,DIV,"Falls Church City Public Schools",Hispanic,22,16,73
2018,DIV,"Falls Church City Public Schools",Male,93,81,87
2018,DIV,"Falls Church City Public Schools","Multiple Races",21,21,100
2018,DIV,"Falls Church City Public Schools","Students with Disabilities",28,25,89
2018,DIV,"Falls Church City Public Schools",White,131,118,90
2018,DIV,"Fauquier County Public Schools","All Students",899,640,71
2018,DIV,"Fauquier County Public Schools","American Indian",<,<,<
2018,DIV,"Fauquier County Public Schools",Asian,18,15,83
2018,DIV,"Fauquier County Public Schools",Black,65,31,48
2018,DIV,"Fauquier County Public Schools","Economically Disadvantaged",175,89,51
2018,DIV,"Fauquier County Public Schools","English Learners",33,11,33
2018,DIV,"Fauquier County Public Schools",Female,441,342,78
2018,DIV,"Fauquier County Public Schools",Hispanic,121,72,60
2018,DIV,"Fauquier County Public Schools",Male,458,298,65
2018,DIV,"Fauquier County Public Schools","Multiple Races",31,23,74
2018,DIV,"Fauquier County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Fauquier County Public Schools","Students with Disabilities",87,40,46
2018,DIV,"Fauquier County Public Schools",White,660,497,75
2018,DIV,"Floyd County Public Schools","All Students",151,89,59
2018,DIV,"Floyd County Public Schools",Black,<,<,<
2018,DIV,"Floyd County Public Schools","Economically Disadvantaged",56,25,45
2018,DIV,"Floyd County Public Schools","English Learners",<,<,<
2018,DIV,"Floyd County Public Schools",Female,77,54,70
2018,DIV,"Floyd County Public Schools",Hispanic,<,<,<
