"Diplomas and Completion"
4/3/2023

Year,Level,Division,Subgroup,Cohort,"Dropout Count","Dropout Rate","Advanced Diplomas","Standard Count","Other Diplomas Count","GED ISAEP","Standard and Other Diplomas Count","GED Other Non-Graduation Count","Other Non-Graduation Count"
2021,DIV,"Amherst County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Amherst County Public Schools",Female,148,4,2.7,70,70,0,1,3,4,70
2021,DIV,"Amherst County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Amherst County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Amherst County Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Amherst County Public Schools",Male,121,10,8.3,46,59,6,0,0,0,65
2021,DIV,"Amherst County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Amherst County Public Schools","Multiple Races",32,2,6.3,10,17,1,0,2,2,18
2021,DIV,"Amherst County Public Schools","Students with Disabilities",26,1,3.8,1,17,6,0,1,1,23
2021,DIV,"Amherst County Public Schools",White,185,12,6.5,81,87,4,1,0,1,91
2021,DIV,"Appomattox County Public Schools","All Students",192,9,4.7,98,72,5,8,0,8,77
2021,DIV,"Appomattox County Public Schools",Black,25,0,0,8,14,1,2,0,2,15
2021,DIV,"Appomattox County Public Schools","Economically Disadvantaged",74,7,9.5,22,39,1,5,0,5,40
2021,DIV,"Appomattox County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Appomattox County Public Schools",Female,104,2,1.9,66,29,1,6,0,6,30
2021,DIV,"Appomattox County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Appomattox County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Appomattox County Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Appomattox County Public Schools",Male,88,7,8,32,43,4,2,0,2,47
2021,DIV,"Appomattox County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Appomattox County Public Schools","Multiple Races",14,0,0,7,5,0,2,0,2,5
2021,DIV,"Appomattox County Public Schools","Native Hawaiian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Appomattox County Public Schools","Students with Disabilities",16,1,6.3,1,9,5,0,0,0,14
2021,DIV,"Appomattox County Public Schools",White,143,9,6.3,78,49,4,3,0,3,53
2021,DIV,"Arlington County Public Schools","All Students",1868,84,4.5,1220,491,34,5,34,39,525
2021,DIV,"Arlington County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Arlington County Public Schools",Asian,137,5,3.6,90,38,2,0,2,2,40
2021,DIV,"Arlington County Public Schools",Black,199,1,.5,92,94,6,2,4,6,100
2021,DIV,"Arlington County Public Schools","Economically Disadvantaged",564,22,3.9,244,264,15,1,18,19,279
2021,DIV,"Arlington County Public Schools","English Learners",574,52,9.1,262,226,17,1,10,17,243
2021,DIV,"Arlington County Public Schools",Female,909,23,2.5,643,205,16,2,20,22,221
2021,DIV,"Arlington County Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Arlington County Public Schools",Hispanic,561,70,12.5,245,215,15,0,16,16,230
2021,DIV,"Arlington County Public Schools",Homeless,12,1,8.3,3,8,0,0,0,0,8
2021,DIV,"Arlington County Public Schools",Male,959,61,6.4,577,286,18,3,14,17,304
2021,DIV,"Arlington County Public Schools","Military Connected",73,2,2.7,53,17,0,1,0,1,17
2021,DIV,"Arlington County Public Schools","Multiple Races",108,0,0,89,16,1,0,2,2,17
2021,DIV,"Arlington County Public Schools","Students with Disabilities",316,12,3.8,102,155,34,4,3,13,189
2021,DIV,"Arlington County Public Schools",White,861,8,.9,703,127,10,3,10,13,137
2021,DIV,"Augusta County Public Schools","All Students",784,25,3.2,332,386,18,14,9,23,404
2021,DIV,"Augusta County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Augusta County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Augusta County Public Schools",Black,26,2,7.7,12,11,0,1,0,1,11
2021,DIV,"Augusta County Public Schools","Economically Disadvantaged",277,15,5.4,83,152,9,11,7,18,161
2021,DIV,"Augusta County Public Schools","English Learners",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Augusta County Public Schools",Female,371,10,2.7,185,162,5,5,4,9,167
2021,DIV,"Augusta County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Augusta County Public Schools",Hispanic,52,3,5.8,21,27,0,1,0,1,27
2021,DIV,"Augusta County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2021,DIV,"Augusta County Public Schools",Male,413,15,3.6,147,224,13,9,5,14,237
2021,DIV,"Augusta County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Augusta County Public Schools","Multiple Races",25,2,8,12,10,1,0,0,0,11
2021,DIV,"Augusta County Public Schools","Students with Disabilities",72,4,5.6,2,44,18,3,1,4,62
2021,DIV,"Augusta County Public Schools",White,675,18,2.7,281,338,17,12,9,21,355
2021,DIV,"Bath County Public Schools","All Students",37,1,2.7,15,21,0,0,0,0,21
2021,DIV,"Bath County Public Schools",Black,<,<,<,<,<,<,<,<,<,<
2021,DIV,"Bath County Public Schools","Economically Disadvantaged",19,0,0,7,12,0,0,0,0,12
2021,DIV,"Bath County Public Schools",Female,17,0,0,13,4,0,0,0,0,4
2021,DIV,"Bath County Public Schools",Male,20,1,5,2,17,0,0,0,0,17
2021,DIV,"Bath County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Bath County Public Schools","Students with Disabilities",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Bath County Public Schools",White,35,0,0,15,20,0,0,0,0,20
2021,DIV,"Bedford County Public Schools","All Students",750,31,4.1,363,313,24,15,4,19,337
2021,DIV,"Bedford County Public Schools",Asian,12,0,0,8,4,0,0,0,0,4
2021,DIV,"Bedford County Public Schools",Black,43,2,4.7,17,24,0,0,0,0,24
2021,DIV,"Bedford County Public Schools","Economically Disadvantaged",261,20,7.7,74,141,15,9,2,11,156
2021,DIV,"Bedford County Public Schools","English Learners",10,0,0,5,5,0,0,0,0,5
2021,DIV,"Bedford County Public Schools",Female,365,10,2.7,211,134,3,5,2,7,137
2021,DIV,"Bedford County Public Schools",Hispanic,35,0,0,22,11,0,1,1,2,11
2021,DIV,"Bedford County Public Schools",Homeless,11,2,18.2,1,8,0,0,0,0,8
2021,DIV,"Bedford County Public Schools",Male,385,21,5.5,152,179,21,10,2,12,200
2021,DIV,"Bedford County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Bedford County Public Schools","Multiple Races",29,1,3.4,12,11,3,2,0,2,14
2021,DIV,"Bedford County Public Schools","Students with Disabilities",70,4,5.7,1,41,24,0,0,0,65
2021,DIV,"Bedford County Public Schools",White,631,28,4.4,304,263,21,12,3,15,284
2021,DIV,"Bland County Public Schools","All Students",52,0,0,9,42,0,0,1,1,42
2021,DIV,"Bland County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Bland County Public Schools","Economically Disadvantaged",26,0,0,2,23,0,0,1,1,23
2021,DIV,"Bland County Public Schools",Female,31,0,0,8,22,0,0,1,1,22
2021,DIV,"Bland County Public Schools",Male,21,0,0,1,20,0,0,0,0,20
2021,DIV,"Bland County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Bland County Public Schools","Students with Disabilities",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Bland County Public Schools",White,49,0,0,8,40,0,0,1,1,40
2021,DIV,"Botetourt County Public Schools","All Students",397,10,2.5,237,134,5,2,9,11,139
2021,DIV,"Botetourt County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Botetourt County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Botetourt County Public Schools",Black,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Botetourt County Public Schools","Economically Disadvantaged",69,3,4.3,16,41,3,1,5,6,44
2021,DIV,"Botetourt County Public Schools","English Learners",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Botetourt County Public Schools",Female,189,3,1.6,123,55,3,1,4,5,58
2021,DIV,"Botetourt County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Botetourt County Public Schools",Hispanic,11,1,9.1,6,4,0,0,0,0,4
2021,DIV,"Botetourt County Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Botetourt County Public Schools",Male,208,7,3.4,114,79,2,1,5,6,81
2021,DIV,"Botetourt County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Botetourt County Public Schools","Multiple Races",22,1,4.5,9,11,0,0,1,1,11
2021,DIV,"Botetourt County Public Schools","Students with Disabilities",38,3,7.9,1,28,5,1,0,1,33
2021,DIV,"Botetourt County Public Schools",White,350,8,2.3,214,114,5,2,7,9,119
2021,DIV,"Bristol City Public Schools","All Students",167,14,8.4,51,91,6,1,4,5,97
2021,DIV,"Bristol City Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Bristol City Public Schools",Black,11,1,9.1,5,4,1,0,0,0,5
2021,DIV,"Bristol City Public Schools","Economically Disadvantaged",97,13,13.4,19,55,6,1,3,4,61
2021,DIV,"Bristol City Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Bristol City Public Schools",Female,81,5,6.2,35,38,1,0,2,2,39
2021,DIV,"Bristol City Public Schools",Hispanic,<,<,<,<,<,<,<,<,<,<
2021,DIV,"Bristol City Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Bristol City Public Schools",Male,86,9,10.5,16,53,5,1,2,3,58
2021,DIV,"Bristol City Public Schools","Multiple Races",12,0,0,2,8,1,0,1,1,9
2021,DIV,"Bristol City Public Schools","Students with Disabilities",21,1,4.8,0,14,6,0,0,0,20
2021,DIV,"Bristol City Public Schools",White,135,12,8.9,42,73,4,1,3,4,77
2021,DIV,"Brunswick County Public Schools","All Students",121,7,5.8,36,68,4,1,5,6,72
2021,DIV,"Brunswick County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Brunswick County Public Schools",Black,102,6,5.9,32,55,4,1,4,5,59
2021,DIV,"Brunswick County Public Schools","Economically Disadvantaged",93,7,7.5,18,58,4,1,5,6,62
2021,DIV,"Brunswick County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Brunswick County Public Schools",Female,55,3,5.5,24,23,2,1,2,3,25
2021,DIV,"Brunswick County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Brunswick County Public Schools",Male,66,4,6.1,12,45,2,0,3,3,47
2021,DIV,"Brunswick County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Brunswick County Public Schools","Native Hawaiian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Brunswick County Public Schools","Students with Disabilities",17,1,5.9,0,12,4,0,0,0,16
2021,DIV,"Brunswick County Public Schools",White,14,1,7.1,3,10,0,0,0,0,10
2021,DIV,"Buchanan County Public Schools","All Students",205,11,5.4,63,122,2,2,5,7,124
2021,DIV,"Buchanan County Public Schools","Economically Disadvantaged",112,10,8.9,23,74,0,2,3,5,74
2021,DIV,"Buchanan County Public Schools",Female,97,1,1,42,51,1,1,1,2,52
2021,DIV,"Buchanan County Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Buchanan County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Buchanan County Public Schools",Male,108,10,9.3,21,71,1,1,4,5,72
2021,DIV,"Buchanan County Public Schools","Students with Disabilities",36,5,13.9,0,28,2,0,0,1,30
2021,DIV,"Buchanan County Public Schools",White,204,11,5.4,63,122,2,2,4,6,124
2021,DIV,"Buckingham County Public Schools","All Students",136,6,4.4,41,81,3,2,3,5,84
2021,DIV,"Buckingham County Public Schools",Black,42,2,4.8,13,24,1,0,2,2,25
2021,DIV,"Buckingham County Public Schools","Economically Disadvantaged",63,4,6.3,8,45,3,2,1,3,48
2021,DIV,"Buckingham County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Buckingham County Public Schools",Female,63,2,3.2,23,33,1,2,2,4,34
2021,DIV,"Buckingham County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Buckingham County Public Schools",Male,73,4,5.5,18,48,2,0,1,1,50
2021,DIV,"Buckingham County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Buckingham County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Buckingham County Public Schools","Students with Disabilities",23,4,17.4,1,15,3,0,0,0,18
2021,DIV,"Buckingham County Public Schools",White,83,4,4.8,27,50,2,0,0,0,52
2021,DIV,"Buena Vista City Public Schools","All Students",77,6,7.8,35,33,0,2,1,3,33
2021,DIV,"Buena Vista City Public Schools","American Indian",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Buena Vista City Public Schools",Black,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Buena Vista City Public Schools","Economically Disadvantaged",29,4,13.8,4,19,0,1,1,2,19
2021,DIV,"Buena Vista City Public Schools",Female,43,4,9.3,22,16,0,0,1,1,16
2021,DIV,"Buena Vista City Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Buena Vista City Public Schools",Male,34,2,5.9,13,17,0,2,0,2,17
2021,DIV,"Buena Vista City Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Buena Vista City Public Schools","Students with Disabilities",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Buena Vista City Public Schools",White,67,5,7.5,32,27,0,2,1,3,27
2021,DIV,"Campbell County Public Schools","All Students",648,26,4,278,304,19,16,5,21,323
2021,DIV,"Campbell County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Campbell County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Campbell County Public Schools",Black,104,5,4.8,43,49,5,1,1,2,54
2021,DIV,"Campbell County Public Schools","Economically Disadvantaged",260,21,8.1,71,142,10,12,4,16,152
2021,DIV,"Campbell County Public Schools","English Learners",18,2,11.1,7,9,0,0,0,0,9
2021,DIV,"Campbell County Public Schools",Female,297,12,4,152,121,5,4,3,7,126
2021,DIV,"Campbell County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Campbell County Public Schools",Hispanic,24,2,8.3,9,13,0,0,0,0,13
2021,DIV,"Campbell County Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Campbell County Public Schools",Male,351,14,4,126,183,14,12,2,14,197
2021,DIV,"Campbell County Public Schools","Multiple Races",31,1,3.2,9,19,2,0,0,0,21
2021,DIV,"Campbell County Public Schools","Students with Disabilities",83,2,2.4,3,57,19,1,0,2,76
2021,DIV,"Campbell County Public Schools",White,476,18,3.8,209,218,12,15,4,19,230
2021,DIV,"Caroline County Public Schools","All Students",290,15,5.2,110,135,9,0,21,21,144
2021,DIV,"Caroline County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Caroline County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Caroline County Public Schools",Black,82,4,4.9,24,46,3,0,5,5,49
2021,DIV,"Caroline County Public Schools","Economically Disadvantaged",125,7,5.6,30,70,4,0,14,14,74
2021,DIV,"Caroline County Public Schools","English Learners",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Caroline County Public Schools",Female,131,4,3.1,67,54,1,0,5,5,55
2021,DIV,"Caroline County Public Schools",Hispanic,24,3,12.5,10,9,0,0,2,2,9
2021,DIV,"Caroline County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2021,DIV,"Caroline County Public Schools",Male,159,11,6.9,43,81,8,0,16,16,89
2021,DIV,"Caroline County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Caroline County Public Schools","Multiple Races",33,2,6.1,11,17,0,0,3,3,17
2021,DIV,"Caroline County Public Schools","Students with Disabilities",38,1,2.6,0,26,9,0,2,2,35
2021,DIV,"Caroline County Public Schools",White,146,6,4.1,61,62,6,0,11,11,68
2021,DIV,"Carroll County Public Schools","All Students",253,12,4.7,118,113,5,4,1,5,118
2021,DIV,"Carroll County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Carroll County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Carroll County Public Schools",Black,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Carroll County Public Schools","Economically Disadvantaged",141,11,7.8,44,79,3,3,1,4,82
2021,DIV,"Carroll County Public Schools","English Learners",14,3,21.4,8,3,0,0,0,0,3
2021,DIV,"Carroll County Public Schools",Female,131,6,4.6,77,44,2,2,0,2,46
2021,DIV,"Carroll County Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Carroll County Public Schools",Hispanic,18,3,16.7,9,6,0,0,0,0,6
2021,DIV,"Carroll County Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Carroll County Public Schools",Male,122,6,4.9,41,69,3,2,1,3,72
2021,DIV,"Carroll County Public Schools",Migrant,<,<,<,<,<,<,<,<,<,<
2021,DIV,"Carroll County Public Schools","Military Connected",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Carroll County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Carroll County Public Schools","Students with Disabilities",42,4,9.5,0,31,5,2,0,2,36
2021,DIV,"Carroll County Public Schools",White,229,9,3.9,107,103,5,4,1,5,108
2021,DIV,"Charles City County Public Schools","All Students",33,2,6.1,5,24,2,0,0,0,26
2021,DIV,"Charles City County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charles City County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charles City County Public Schools",Black,21,2,9.5,2,16,1,0,0,0,17
2021,DIV,"Charles City County Public Schools","Economically Disadvantaged",14,1,7.1,2,10,1,0,0,0,11
2021,DIV,"Charles City County Public Schools",Female,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charles City County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charles City County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charles City County Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charles City County Public Schools",Male,24,2,8.3,3,17,2,0,0,0,19
2021,DIV,"Charles City County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charles City County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charles City County Public Schools","Students with Disabilities",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charles City County Public Schools",White,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charlotte County Public Schools","All Students",162,8,4.9,70,75,4,4,1,5,79
2021,DIV,"Charlotte County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charlotte County Public Schools",Black,45,2,4.4,15,25,0,2,1,3,25
2021,DIV,"Charlotte County Public Schools","Economically Disadvantaged",88,6,6.8,30,47,3,2,0,2,50
2021,DIV,"Charlotte County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charlotte County Public Schools",Female,82,1,1.2,51,28,2,0,0,0,30
2021,DIV,"Charlotte County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charlotte County Public Schools",Male,80,7,8.8,19,47,2,4,1,5,49
2021,DIV,"Charlotte County Public Schools","Multiple Races",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Charlotte County Public Schools","Students with Disabilities",24,3,12.5,1,16,4,0,0,0,20
2021,DIV,"Charlotte County Public Schools",White,100,5,5,48,41,4,2,0,2,45
2021,DIV,"Charlottesville City Public Schools","All Students",298,12,4,176,87,14,0,9,9,101
2021,DIV,"Charlottesville City Public Schools",Asian,16,0,0,11,5,0,0,0,0,5
2021,DIV,"Charlottesville City Public Schools",Black,72,5,6.9,22,35,8,0,2,2,43
2021,DIV,"Charlottesville City Public Schools","Economically Disadvantaged",135,8,5.9,43,65,13,0,6,6,78
2021,DIV,"Charlottesville City Public Schools","English Learners",34,6,17.6,6,18,1,0,3,3,19
2021,DIV,"Charlottesville City Public Schools",Female,144,7,4.9,86,47,1,0,3,3,48
2021,DIV,"Charlottesville City Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2021,DIV,"Charlottesville City Public Schools",Hispanic,39,6,15.4,14,16,0,0,3,3,16
2021,DIV,"Charlottesville City Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2021,DIV,"Charlottesville City Public Schools",Male,154,5,3.2,90,40,13,0,6,6,53
